total_bill,tip,sex,smoker,day,time,size
21.01,3.5,Male,No,Sun,Dinner,3
24.59,3.61,Female,No,Sun,Dinner,4
25.29,4.71,Male,No,Sun,Dinner,4
26.88,3.12,Male,No,Sun,Dinner,4
35.26,5.0,Female,No,Sun,Dinner,4
18.43,3.0,Male,No,Sun,Dinner,4
16.29,3.71,Male,No,Sun,Dinner,3
16.97,3.5,Female,No,Sun,Dinner,3
20.65,3.35,Male,No,Sat,Dinner,3
39.42,7.58,Male,No,Sat,Dinner,4
24.06,3.6,Male,No,Sat,Dinner,3
16.93,3.07,Female,No,Sat,Dinner,3
31.27,5.0,Male,No,Sat,Dinner,3
30.4,5.6,Male,No,Sun,Dinner,4
32.4,6.0,Male,No,Sun,Dinner,4
34.81,5.2,Female,No,Sun,Dinner,4
25.56,4.34,Male,No,Sun,Dinner,4
38.01,3.0,Male,Yes,Sat,Dinner,4
48.27,6.73,Male,No,Sat,Dinner,4
18.29,3.76,Male,Yes,Sat,Dinner,4
20.08,3.15,Male,No,Sat,Dinner,3
17.07,3.0,Female,No,Sat,Dinner,3
27.2,4.0,Male,No,Thur,Lunch,4
34.83,5.17,Female,No,Thur,Lunch,4
40.17,4.73,Male,Yes,Fri,Dinner,4
38.07,4.0,Male,No,Sun,Dinner,3
25.71,4.0,Female,No,Sun,Dinner,3
29.93,5.07,Male,No,Sun,Dinner,4
29.8,4.2,Female,No,Thur,Lunch,6
34.3,6.7,Male,No,Thur,Lunch,6
41.19,5.0,Male,No,Thur,Lunch,5
27.05,5.0,Female,No,Thur,Lunch,6
29.85,5.14,Female,No,Sun,Dinner,5
48.17,5.0,Male,No,Sun,Dinner,6
25.0,3.75,Female,No,Sun,Dinner,4
21.5,3.5,Male,No,Sun,Dinner,4
24.52,3.48,Male,No,Sun,Dinner,3
31.71,4.5,Male,No,Sun,Dinner,4
50.81,10.0,Male,Yes,Sat,Dinner,3
34.65,3.68,Male,Yes,Sun,Dinner,4
45.35,3.5,Male,Yes,Sun,Dinner,3
23.17,6.5,Male,Yes,Sun,Dinner,4
20.69,5.0,Male,No,Sun,Dinner,5
20.9,3.5,Female,Yes,Sun,Dinner,3
18.15,3.5,Female,Yes,Sun,Dinner,3
23.1,4.0,Male,Yes,Sun,Dinner,3
43.11,5.0,Female,Yes,Thur,Lunch,4
18.71,4.0,Male,Yes,Thur,Lunch,3
20.53,4.0,Male,Yes,Thur,Lunch,4
16.47,3.23,Female,Yes,Thur,Lunch,3
26.59,3.41,Male,Yes,Sat,Dinner,3
38.73,3.0,Male,Yes,Sat,Dinner,4
25.89,5.16,Male,Yes,Sat,Dinner,4
48.33,9.0,Male,No,Sat,Dinner,4
28.17,6.5,Female,Yes,Sat,Dinner,3
28.15,3.0,Male,Yes,Sat,Dinner,5
30.14,3.09,Female,Yes,Sat,Dinner,4
15.98,3.0,Female,No,Fri,Lunch,3
20.45,3.0,Male,No,Sat,Dinner,4
15.69,3.0,Male,Yes,Sat,Dinner,3
35.83,4.67,Female,No,Sat,Dinner,3
29.03,5.92,Male,No,Sat,Dinner,3
