Age,Gender,Education,MonthlyIncome,OverTime,DistanceFromHome,YearsAtCompany,Attrition
41,Female,2,5993,Yes,1,6,Yes
49,Male,1,5130,No,8,10,No
37,Male,2,2090,Yes,2,0,Yes
33,Female,4,2909,Yes,3,8,No
27,Male,1,3468,No,2,2,No
32,Male,2,3068,No,2,7,No
59,Female,3,2670,Yes,3,1,No
30,Male,1,2693,No,24,1,No
38,Male,3,9526,No,23,9,No
36,Male,3,5237,No,27,7,No
35,Male,3,2426,No,16,5,No
29,Female,2,4193,Yes,15,9,No
31,Male,1,2911,No,26,5,No
34,Male,2,2661,No,19,2,No
28,Male,3,2028,Yes,24,4,Yes
29,Female,4,9980,No,21,10,No
32,Male,2,3298,Yes,5,6,No
22,Male,2,2935,Yes,16,1,No
53,Female,4,15427,No,2,25,No
38,Male,3,3944,Yes,2,3,No
24,Female,2,4011,No,11,4,No
36,Male,4,3407,No,9,5,Yes
34,Female,4,11994,No,7,12,No
21,Male,2,1232,No,15,0,No
34,Male,1,2960,No,6,4,Yes
53,Female,3,19094,No,5,14,No
32,Female,1,3919,Yes,16,10,Yes
42,Male,4,6825,No,8,9,No
44,Female,4,10248,No,7,22,No
46,Female,4,18947,No,2,2,No
33,Male,3,2496,No,2,1,No
44,Male,4,6465,Yes,10,4,No
30,Male,2,2206,No,9,10,No
39,Male,3,2086,No,5,1,Yes
24,Male,3,2293,Yes,1,2,Yes
43,Female,2,2645,No,2,5,No
50,Male,2,2683,Yes,3,3,Yes
35,Female,3,2014,No,2,2,No
36,Female,4,3419,Yes,5,1,No
33,Female,3,5376,No,1,5,No
35,Male,2,1951,No,4,1,No
27,Female,4,2341,No,2,1,No
26,Male,3,2293,No,25,1,Yes
27,Male,3,8726,No,8,9,No
30,Female,2,4011,No,1,12,No
41,Female,3,19545,No,12,22,Yes
34,Male,4,4568,No,23,9,No
37,Male,2,3022,No,19,1,No
46,Male,4,5772,Yes,5,9,No
35,Male,1,2269,No,8,1,No
48,Male,2,5381,Yes,1,1,Yes
28,Male,4,3441,Yes,5,2,Yes
44,Female,5,5454,Yes,1,4,No
35,Male,2,9884,Yes,11,4,No
26,Female,3,4157,Yes,23,2,No
33,Female,2,13458,Yes,1,15,No
35,Male,5,9069,No,18,9,No
35,Female,4,4014,Yes,23,2,No
31,Male,4,5915,No,7,7,No
37,Male,4,5993,No,1,7,No
32,Male,3,6162,Yes,1,9,No
38,Female,5,2406,No,29,10,No
50,Female,2,18740,Yes,7,27,No
59,Female,3,7637,No,25,21,No
36,Female,3,10096,No,8,17,No
55,Female,3,14756,Yes,8,5,No
36,Male,3,6499,No,11,6,No
45,Male,3,9724,No,7,1,No
35,Male,3,2194,No,1,3,No
36,Male,3,3388,Yes,9,1,Yes
59,Female,1,5473,No,1,4,No
29,Male,3,2703,No,2,5,No
31,Male,4,2501,No,1,1,No
32,Male,3,6220,No,1,10,No
36,Female,3,3038,No,6,1,No
31,Female,4,4424,No,8,11,No
35,Male,4,4312,No,1,15,No
45,Male,4,13245,Yes,6,0,No
37,Male,4,13664,No,7,5,No
46,Male,2,5021,Yes,5,4,No
30,Male,1,5126,Yes,1,10,No
35,Male,3,2859,No,1,6,No
55,Male,2,10239,No,1,1,No
38,Female,3,5329,Yes,6,13,No
34,Male,2,4325,No,1,5,No
56,Male,3,7260,No,7,6,No
23,Male,1,2322,No,2,0,No
51,Male,4,2075,No,9,4,No
30,Male,3,4152,No,2,11,No
46,Male,2,9619,No,9,9,Yes
40,Male,4,13503,No,1,22,No
51,Male,4,5441,Yes,21,10,No
30,Female,2,5209,Yes,4,11,No
46,Male,3,10673,Yes,1,10,No
32,Male,4,5010,No,6,11,No
54,Female,4,13549,No,2,4,No
24,Female,2,4999,No,3,3,No
28,Male,3,4221,No,4,5,No
58,Male,4,13872,No,10,37,No
44,Male,3,2042,No,23,3,No
37,Male,4,2073,Yes,6,3,Yes
32,Male,1,2956,No,1,1,No
20,Female,3,2926,Yes,6,1,Yes
34,Female,4,4809,No,6,16,No
37,Male,2,5163,No,2,1,No
59,Female,4,18844,No,2,3,No
50,Female,3,18172,Yes,1,8,No
25,Male,3,5744,Yes,5,6,Yes
25,Male,1,2889,No,7,2,No
22,Female,3,2871,No,15,0,No
51,Female,4,7484,No,1,13,No
34,Male,3,6074,Yes,7,9,Yes
54,Female,3,17328,Yes,26,5,No
24,Male,1,2774,No,18,5,No
34,Female,4,4505,No,6,1,No
37,Male,3,7428,No,3,5,No
34,Female,3,11631,No,5,11,No
36,Female,2,9738,No,11,9,No
36,Female,2,2835,No,3,1,No
43,Male,2,16959,Yes,26,25,No
30,Male,3,2613,No,23,10,No
33,Male,2,6146,No,22,7,No
56,Female,4,4963,Yes,14,5,Yes
51,Male,3,19537,No,6,20,No
31,Male,4,6172,Yes,6,7,Yes
26,Female,3,2368,No,6,5,No
58,Female,4,10312,No,23,40,Yes
19,Male,1,1675,Yes,22,0,Yes
22,Male,1,2523,No,2,2,No
49,Female,4,6567,No,20,15,No
43,Female,3,4739,No,28,3,No
50,Female,3,9208,No,12,2,No
31,Female,3,4559,Yes,20,2,Yes
41,Male,1,8189,Yes,9,9,No
26,Female,1,2942,No,25,8,No
36,Male,2,4941,No,6,3,No
51,Male,4,10650,No,8,4,Yes
39,Female,4,5902,No,4,15,No
25,Male,3,8639,No,28,2,No
30,Male,3,6347,Yes,9,11,No
