year,month,day,hour,pm25,date
2012,1,1,0,275.0,2012-01-01
2012,1,1,1,303.0,2012-01-01
2012,1,1,2,215.0,2012-01-01
2012,1,1,3,222.0,2012-01-01
2012,1,1,4,85.0,2012-01-01
2012,1,1,5,38.0,2012-01-01
2012,1,1,6,23.0,2012-01-01
2012,1,1,7,19.0,2012-01-01
2012,1,1,8,14.0,2012-01-01
2012,1,1,9,16.0,2012-01-01
2012,1,1,10,21.0,2012-01-01
2012,1,1,11,22.0,2012-01-01
2012,1,1,12,22.0,2012-01-01
2012,1,1,13,17.0,2012-01-01
2012,1,1,14,22.0,2012-01-01
2012,1,1,15,29.0,2012-01-01
2012,1,1,16,39.0,2012-01-01
2012,1,1,17,42.0,2012-01-01
2012,1,1,18,55.0,2012-01-01
2012,1,1,19,55.0,2012-01-01
2012,1,1,20,72.0,2012-01-01
2012,1,1,21,81.0,2012-01-01
2012,1,1,22,80.0,2012-01-01
2012,1,1,23,128.0,2012-01-01
2012,1,2,0,114.0,2012-01-02
2012,1,2,1,97.0,2012-01-02
2012,1,2,2,79.0,2012-01-02
2012,1,2,3,88.0,2012-01-02
2012,1,2,4,87.0,2012-01-02
2012,1,2,5,98.0,2012-01-02
2012,1,2,6,99.0,2012-01-02
2012,1,2,7,100.0,2012-01-02
2012,1,2,8,104.0,2012-01-02
2012,1,2,9,131.0,2012-01-02
2012,1,2,10,134.0,2012-01-02
2012,1,2,11,169.0,2012-01-02
2012,1,2,12,133.0,2012-01-02
2012,1,2,13,39.0,2012-01-02
2012,1,2,14,12.0,2012-01-02
2012,1,2,15,19.0,2012-01-02
2012,1,2,16,14.0,2012-01-02
2012,1,2,17,13.0,2012-01-02
2012,1,2,18,13.0,2012-01-02
2012,1,2,19,16.0,2012-01-02
2012,1,2,20,8.0,2012-01-02
2012,1,2,21,10.0,2012-01-02
2012,1,2,22,27.0,2012-01-02
2012,1,2,23,18.0,2012-01-02
2012,1,3,0,14.0,2012-01-03
2012,1,3,1,16.0,2012-01-03
2012,1,3,2,17.0,2012-01-03
2012,1,3,3,11.0,2012-01-03
2012,1,3,4,11.0,2012-01-03
2012,1,3,5,12.0,2012-01-03
2012,1,3,6,15.0,2012-01-03
2012,1,3,7,17.0,2012-01-03
2012,1,3,8,14.0,2012-01-03
2012,1,3,9,16.0,2012-01-03
2012,1,3,10,18.0,2012-01-03
2012,1,3,11,24.0,2012-01-03
2012,1,3,12,16.0,2012-01-03
2012,1,3,13,18.0,2012-01-03
2012,1,3,14,13.0,2012-01-03
2012,1,3,15,23.0,2012-01-03
2012,1,3,16,13.0,2012-01-03
2012,1,3,17,11.0,2012-01-03
2012,1,3,18,8.0,2012-01-03
2012,1,3,19,19.0,2012-01-03
2012,1,3,20,11.0,2012-01-03
2012,1,3,21,12.0,2012-01-03
2012,1,3,22,10.0,2012-01-03
2012,1,3,23,16.0,2012-01-03
2012,1,4,0,14.0,2012-01-04
2012,1,4,1,13.0,2012-01-04
2012,1,4,2,10.0,2012-01-04
2012,1,4,3,11.0,2012-01-04
2012,1,4,4,18.0,2012-01-04
2012,1,4,5,13.0,2012-01-04
2012,1,4,6,13.0,2012-01-04
2012,1,4,7,15.0,2012-01-04
2012,1,4,8,20.0,2012-01-04
2012,1,4,9,19.0,2012-01-04
2012,1,4,10,16.0,2012-01-04
2012,1,4,11,17.0,2012-01-04
2012,1,4,12,12.0,2012-01-04
2012,1,4,13,25.0,2012-01-04
2012,1,4,14,16.0,2012-01-04
2012,1,4,15,15.0,2012-01-04
2012,1,4,16,21.0,2012-01-04
2012,1,4,17,37.0,2012-01-04
2012,1,4,18,42.0,2012-01-04
2012,1,4,19,55.0,2012-01-04
2012,1,4,20,74.0,2012-01-04
2012,1,4,21,87.0,2012-01-04
2012,1,4,22,86.0,2012-01-04
2012,1,4,23,87.0,2012-01-04
2012,1,5,0,90.0,2012-01-05
2012,1,5,1,89.0,2012-01-05
2012,1,5,2,91.0,2012-01-05
2012,1,5,3,99.0,2012-01-05
2012,1,5,4,150.0,2012-01-05
2012,1,5,5,143.0,2012-01-05
2012,1,5,6,130.0,2012-01-05
2012,1,5,7,102.0,2012-01-05
2012,1,5,8,96.0,2012-01-05
2012,1,5,9,72.0,2012-01-05
2012,1,5,10,60.0,2012-01-05
2012,1,5,11,70.0,2012-01-05
2012,1,5,12,76.0,2012-01-05
2012,1,5,13,69.0,2012-01-05
2012,1,5,14,53.0,2012-01-05
2012,1,5,15,53.0,2012-01-05
2012,1,5,16,65.0,2012-01-05
2012,1,5,17,86.0,2012-01-05
2012,1,5,18,115.0,2012-01-05
2012,1,5,19,179.0,2012-01-05
2012,1,5,20,235.0,2012-01-05
2012,1,5,21,241.0,2012-01-05
2012,1,5,22,189.0,2012-01-05
2012,1,5,23,161.0,2012-01-05
2012,1,6,0,189.0,2012-01-06
2012,1,6,1,161.0,2012-01-06
2012,1,6,2,161.0,2012-01-06
2012,1,6,3,159.0,2012-01-06
2012,1,6,4,197.0,2012-01-06
2012,1,6,5,183.0,2012-01-06
2012,1,6,6,172.0,2012-01-06
2012,1,6,7,170.0,2012-01-06
2012,1,6,8,179.0,2012-01-06
2012,1,6,9,194.0,2012-01-06
2012,1,6,10,183.0,2012-01-06
2012,1,6,11,150.0,2012-01-06
2012,1,6,12,87.0,2012-01-06
2012,1,6,13,93.0,2012-01-06
2012,1,6,14,91.0,2012-01-06
2012,1,6,15,67.0,2012-01-06
2012,1,6,16,54.0,2012-01-06
2012,1,6,17,62.0,2012-01-06
2012,1,6,18,56.0,2012-01-06
2012,1,6,19,58.0,2012-01-06
2012,1,6,20,54.0,2012-01-06
2012,1,6,21,51.0,2012-01-06
2012,1,6,22,52.0,2012-01-06
2012,1,6,23,45.0,2012-01-06
2012,1,7,0,45.0,2012-01-07
2012,1,7,1,49.0,2012-01-07
2012,1,7,2,47.0,2012-01-07
2012,1,7,3,40.0,2012-01-07
2012,1,7,4,46.0,2012-01-07
2012,1,7,5,51.0,2012-01-07
2012,1,7,6,49.0,2012-01-07
2012,1,7,7,60.0,2012-01-07
2012,1,7,8,69.0,2012-01-07
2012,1,7,9,66.0,2012-01-07
2012,1,7,10,68.0,2012-01-07
2012,1,7,11,83.0,2012-01-07
2012,1,7,12,132.0,2012-01-07
2012,1,7,13,175.0,2012-01-07
2012,1,7,14,170.0,2012-01-07
2012,1,7,15,172.0,2012-01-07
2012,1,7,16,169.0,2012-01-07
2012,1,7,17,176.0,2012-01-07
2012,1,7,18,175.0,2012-01-07
2012,1,7,19,172.0,2012-01-07
2012,1,7,20,166.0,2012-01-07
2012,1,7,21,171.0,2012-01-07
2012,1,7,22,164.0,2012-01-07
2012,1,7,23,191.0,2012-01-07
2012,1,8,0,171.0,2012-01-08
2012,1,8,1,184.0,2012-01-08
2012,1,8,2,191.0,2012-01-08
2012,1,8,3,169.0,2012-01-08
2012,1,8,4,156.0,2012-01-08
2012,1,8,5,151.0,2012-01-08
2012,1,8,6,120.0,2012-01-08
2012,1,8,7,116.0,2012-01-08
2012,1,8,8,109.0,2012-01-08
2012,1,8,9,111.0,2012-01-08
2012,1,8,10,124.0,2012-01-08
2012,1,8,11,125.0,2012-01-08
2012,1,8,12,151.0,2012-01-08
2012,1,8,13,149.0,2012-01-08
2012,1,8,14,153.0,2012-01-08
2012,1,8,15,152.0,2012-01-08
2012,1,8,16,144.0,2012-01-08
2012,1,8,17,197.0,2012-01-08
2012,1,8,18,181.0,2012-01-08
2012,1,8,19,197.0,2012-01-08
2012,1,8,20,201.0,2012-01-08
2012,1,8,21,211.0,2012-01-08
2012,1,8,22,235.0,2012-01-08
2012,1,8,23,275.0,2012-01-08
2012,1,9,0,289.0,2012-01-09
2012,1,9,1,284.0,2012-01-09
2012,1,9,2,205.0,2012-01-09
2012,1,9,3,146.0,2012-01-09
2012,1,9,4,127.0,2012-01-09
2012,1,9,5,79.0,2012-01-09
2012,1,9,6,63.0,2012-01-09
2012,1,9,7,79.0,2012-01-09
2012,1,9,8,126.0,2012-01-09
2012,1,9,9,100.0,2012-01-09
2012,1,9,10,96.0,2012-01-09
2012,1,9,11,74.0,2012-01-09
2012,1,9,12,77.0,2012-01-09
2012,1,9,13,85.0,2012-01-09
2012,1,9,14,204.0,2012-01-09
2012,1,9,15,184.0,2012-01-09
2012,1,9,16,177.0,2012-01-09
2012,1,9,17,175.0,2012-01-09
2012,1,9,18,149.0,2012-01-09
2012,1,9,19,180.0,2012-01-09
2012,1,9,20,267.0,2012-01-09
2012,1,9,21,314.0,2012-01-09
2012,1,9,22,350.0,2012-01-09
2012,1,9,23,335.0,2012-01-09
2012,1,10,0,366.0,2012-01-10
2012,1,10,1,358.0,2012-01-10
2012,1,10,2,388.0,2012-01-10
2012,1,10,3,433.0,2012-01-10
2012,1,10,4,524.0,2012-01-10
2012,1,10,5,534.0,2012-01-10
2012,1,10,6,501.0,2012-01-10
2012,1,10,7,513.0,2012-01-10
2012,1,10,8,491.0,2012-01-10
2012,1,10,9,502.0,2012-01-10
2012,1,10,10,484.0,2012-01-10
2012,1,10,11,494.0,2012-01-10
2012,1,10,12,155.0,2012-01-10
2012,1,10,13,21.0,2012-01-10
2012,1,10,14,21.0,2012-01-10
2012,1,10,15,19.0,2012-01-10
2012,1,10,16,17.0,2012-01-10
2012,1,10,17,13.0,2012-01-10
2012,1,10,18,15.0,2012-01-10
2012,1,10,19,11.0,2012-01-10
2012,1,10,20,12.0,2012-01-10
2012,1,10,21,12.0,2012-01-10
2012,1,10,22,10.0,2012-01-10
2012,1,10,23,18.0,2012-01-10
2012,1,11,0,17.0,2012-01-11
2012,1,11,1,14.0,2012-01-11
2012,1,11,2,17.0,2012-01-11
2012,1,11,3,13.0,2012-01-11
2012,1,11,4,14.0,2012-01-11
2012,1,11,5,24.0,2012-01-11
2012,1,11,6,25.0,2012-01-11
2012,1,11,7,32.0,2012-01-11
2012,1,11,8,29.0,2012-01-11
2012,1,11,9,53.0,2012-01-11
2012,1,11,10,31.0,2012-01-11
2012,1,11,11,33.0,2012-01-11
2012,1,11,12,47.0,2012-01-11
2012,1,11,13,57.0,2012-01-11
2012,1,11,14,47.0,2012-01-11
2012,1,11,15,46.0,2012-01-11
2012,1,11,16,65.0,2012-01-11
2012,1,11,17,71.0,2012-01-11
2012,1,11,18,68.0,2012-01-11
2012,1,11,19,71.0,2012-01-11
2012,1,11,20,93.0,2012-01-11
2012,1,11,21,120.0,2012-01-11
2012,1,11,22,112.0,2012-01-11
2012,1,11,23,123.0,2012-01-11
2012,1,12,0,138.0,2012-01-12
2012,1,12,1,147.0,2012-01-12
2012,1,12,2,156.0,2012-01-12
2012,1,12,3,169.0,2012-01-12
2012,1,12,4,156.0,2012-01-12
2012,1,12,5,148.0,2012-01-12
2012,1,12,6,137.0,2012-01-12
2012,1,12,7,146.0,2012-01-12
2012,1,12,8,130.0,2012-01-12
2012,1,12,9,123.0,2012-01-12
2012,1,12,10,126.0,2012-01-12
2012,1,12,11,130.0,2012-01-12
2012,1,12,12,136.0,2012-01-12
2012,1,12,13,149.0,2012-01-12
2012,1,12,14,196.0,2012-01-12
2012,1,12,15,162.0,2012-01-12
2012,1,12,16,160.0,2012-01-12
2012,1,12,17,160.0,2012-01-12
2012,1,12,18,174.0,2012-01-12
2012,1,12,19,144.0,2012-01-12
2012,1,12,20,171.0,2012-01-12
2012,1,12,21,156.0,2012-01-12
2012,1,12,22,230.0,2012-01-12
2012,1,12,23,182.0,2012-01-12
2012,1,13,0,100.0,2012-01-13
2012,1,13,1,60.0,2012-01-13
2012,1,13,2,50.0,2012-01-13
2012,1,13,3,52.0,2012-01-13
2012,1,13,4,57.0,2012-01-13
2012,1,13,5,41.0,2012-01-13
2012,1,13,6,47.0,2012-01-13
2012,1,13,7,44.0,2012-01-13
2012,1,13,8,37.0,2012-01-13
2012,1,13,9,52.0,2012-01-13
2012,1,13,10,46.0,2012-01-13
2012,1,13,11,43.0,2012-01-13
2012,1,13,12,45.0,2012-01-13
2012,1,13,13,45.0,2012-01-13
2012,1,13,14,61.0,2012-01-13
2012,1,13,15,69.0,2012-01-13
2012,1,13,16,66.0,2012-01-13
2012,1,13,17,39.0,2012-01-13
2012,1,13,18,57.0,2012-01-13
2012,1,13,19,72.0,2012-01-13
2012,1,13,20,73.0,2012-01-13
2012,1,13,21,73.0,2012-01-13
2012,1,13,22,91.0,2012-01-13
2012,1,13,23,101.0,2012-01-13
2012,1,14,0,137.0,2012-01-14
2012,1,14,1,133.0,2012-01-14
2012,1,14,2,130.0,2012-01-14
2012,1,14,3,125.0,2012-01-14
2012,1,14,4,125.0,2012-01-14
2012,1,14,5,98.0,2012-01-14
2012,1,14,6,58.0,2012-01-14
2012,1,14,7,42.0,2012-01-14
2012,1,14,8,39.0,2012-01-14
2012,1,14,9,33.0,2012-01-14
2012,1,14,10,35.946666666666665,2012-01-14
2012,1,14,11,38.89333333333333,2012-01-14
2012,1,14,12,41.84,2012-01-14
2012,1,14,13,44.78666666666667,2012-01-14
2012,1,14,14,47.733333333333334,2012-01-14
2012,1,14,15,50.68,2012-01-14
2012,1,14,16,53.626666666666665,2012-01-14
2012,1,14,17,56.57333333333334,2012-01-14
2012,1,14,18,59.519999999999996,2012-01-14
2012,1,14,19,62.46666666666667,2012-01-14
2012,1,14,20,65.41333333333333,2012-01-14
2012,1,14,21,68.36,2012-01-14
2012,1,14,22,71.30666666666667,2012-01-14
2012,1,14,23,74.25333333333333,2012-01-14
2012,1,15,0,77.2,2012-01-15
2012,1,15,1,80.14666666666668,2012-01-15
2012,1,15,2,83.09333333333333,2012-01-15
2012,1,15,3,86.03999999999999,2012-01-15
2012,1,15,4,88.98666666666668,2012-01-15
2012,1,15,5,91.93333333333334,2012-01-15
2012,1,15,6,94.88,2012-01-15
2012,1,15,7,97.82666666666667,2012-01-15
2012,1,15,8,100.77333333333334,2012-01-15
2012,1,15,9,103.72,2012-01-15
2012,1,15,10,106.66666666666667,2012-01-15
2012,1,15,11,109.61333333333334,2012-01-15
2012,1,15,12,112.56,2012-01-15
2012,1,15,13,115.50666666666667,2012-01-15
2012,1,15,14,118.45333333333333,2012-01-15
2012,1,15,15,121.4,2012-01-15
2012,1,15,16,124.34666666666666,2012-01-15
2012,1,15,17,127.29333333333334,2012-01-15
2012,1,15,18,130.24,2012-01-15
2012,1,15,19,133.18666666666667,2012-01-15
2012,1,15,20,136.13333333333333,2012-01-15
2012,1,15,21,139.07999999999998,2012-01-15
2012,1,15,22,142.02666666666667,2012-01-15
2012,1,15,23,144.97333333333336,2012-01-15
2012,1,16,0,147.92000000000002,2012-01-16
2012,1,16,1,150.86666666666667,2012-01-16
2012,1,16,2,153.81333333333333,2012-01-16
2012,1,16,3,156.76,2012-01-16
2012,1,16,4,159.70666666666668,2012-01-16
2012,1,16,5,162.65333333333334,2012-01-16
2012,1,16,6,165.6,2012-01-16
2012,1,16,7,168.54666666666668,2012-01-16
2012,1,16,8,171.49333333333334,2012-01-16
2012,1,16,9,174.44,2012-01-16
2012,1,16,10,177.38666666666668,2012-01-16
2012,1,16,11,180.33333333333334,2012-01-16
2012,1,16,12,183.28,2012-01-16
2012,1,16,13,186.2266666666667,2012-01-16
2012,1,16,14,189.17333333333335,2012-01-16
2012,1,16,15,192.12,2012-01-16
2012,1,16,16,195.06666666666666,2012-01-16
2012,1,16,17,198.01333333333335,2012-01-16
2012,1,16,18,200.96,2012-01-16
2012,1,16,19,203.90666666666667,2012-01-16
2012,1,16,20,206.85333333333335,2012-01-16
2012,1,16,21,209.8,2012-01-16
2012,1,16,22,212.74666666666667,2012-01-16
2012,1,16,23,215.69333333333333,2012-01-16
2012,1,17,0,218.64000000000001,2012-01-17
2012,1,17,1,221.58666666666667,2012-01-17
2012,1,17,2,224.53333333333333,2012-01-17
2012,1,17,3,227.48000000000002,2012-01-17
2012,1,17,4,230.42666666666668,2012-01-17
2012,1,17,5,233.37333333333333,2012-01-17
2012,1,17,6,236.32000000000002,2012-01-17
2012,1,17,7,239.26666666666668,2012-01-17
2012,1,17,8,242.21333333333334,2012-01-17
2012,1,17,9,245.16,2012-01-17
2012,1,17,10,248.10666666666668,2012-01-17
2012,1,17,11,251.05333333333334,2012-01-17
2012,1,17,12,254.0,2012-01-17
2012,1,17,13,281.0,2012-01-17
2012,1,17,14,301.0,2012-01-17
2012,1,17,15,285.0,2012-01-17
2012,1,17,16,304.0,2012-01-17
2012,1,17,17,309.0,2012-01-17
2012,1,17,18,308.0,2012-01-17
2012,1,17,19,338.0,2012-01-17
2012,1,17,20,416.0,2012-01-17
2012,1,17,21,398.0,2012-01-17
2012,1,17,22,385.0,2012-01-17
2012,1,17,23,348.0,2012-01-17
2012,1,18,0,332.0,2012-01-18
2012,1,18,1,339.0,2012-01-18
2012,1,18,2,344.0,2012-01-18
2012,1,18,3,353.0,2012-01-18
2012,1,18,4,385.0,2012-01-18
2012,1,18,5,394.0,2012-01-18
2012,1,18,6,401.0,2012-01-18
2012,1,18,7,393.0,2012-01-18
2012,1,18,8,381.0,2012-01-18
2012,1,18,9,384.0,2012-01-18
2012,1,18,10,372.0,2012-01-18
2012,1,18,11,370.0,2012-01-18
2012,1,18,12,345.0,2012-01-18
2012,1,18,13,359.0,2012-01-18
2012,1,18,14,382.0,2012-01-18
2012,1,18,15,412.0,2012-01-18
2012,1,18,16,440.0,2012-01-18
2012,1,18,17,436.0,2012-01-18
2012,1,18,18,450.0,2012-01-18
2012,1,18,19,456.0,2012-01-18
2012,1,18,20,469.0,2012-01-18
2012,1,18,21,450.0,2012-01-18
2012,1,18,22,458.0,2012-01-18
2012,1,18,23,446.0,2012-01-18
2012,1,19,0,437.0,2012-01-19
2012,1,19,1,460.0,2012-01-19
2012,1,19,2,503.0,2012-01-19
2012,1,19,3,558.0,2012-01-19
