student_id,G1,G2
1,0,11
2,9,11
3,12,13
4,14,14
5,11,13
6,12,12
7,13,12
8,10,13
9,15,16
10,12,12
11,14,14
12,10,12
13,12,13
14,12,12
15,14,14
16,17,17
17,13,13
18,13,14
19,8,8
20,12,12
21,12,13
22,11,12
23,12,13
24,10,10
25,10,11
26,10,11
27,11,12
28,11,11
29,12,12
30,12,11
31,10,11
32,15,15
33,13,14
34,13,12
35,12,12
36,11,11
37,14,14
38,13,13
39,11,12
40,14,13
41,11,11
42,10,11
43,14,15
44,9,10
45,10,11
46,10,11
47,13,12
48,17,17
49,11,12
50,13,12
51,14,13
52,16,14
53,10,9
54,13,12
55,13,12
56,12,13
57,15,14
58,15,15
59,14,13
60,16,15
61,17,16
62,10,10
63,13,13
64,14,13
65,13,12
66,16,15
67,11,12
68,10,9
69,11,10
70,15,15
71,13,11
72,11,9
73,13,11
74,13,13
75,11,11
76,11,11
77,12,11
78,13,13
79,9,9
80,12,11
81,11,11
82,10,9
83,12,11
84,13,12
85,13,12
86,12,11
87,13,11
88,15,15
89,12,10
90,9,9
91,9,11
92,14,13
93,12,13
94,13,14
95,11,12
96,13,13
97,9,11
98,13,12
99,12,13
100,12,13
101,9,9
102,16,16
103,12,13
104,11,10
105,16,16
106,10,10
107,10,10
108,13,14
109,12,10
110,15,15
111,13,14
112,11,11
113,8,10
114,18,17
115,10,9
116,16,14
117,16,15
118,14,14
119,12,11
120,14,13
121,14,14
122,14,13
123,14,12
124,12,13
125,12,11
126,9,9
127,10,11
128,9,10
129,14,14
130,13,12
131,10,11
132,10,9
133,11,10
134,11,12
135,13,12
136,15,13
137,9,9
138,13,11
139,12,11
140,13,14
141,10,9
142,14,13
143,11,11
144,12,11
145,12,11
146,9,9
147,10,10
148,13,14
149,8,9
150,9,11
151,9,8
152,15,13
153,12,11
154,13,13
155,10,11
156,9,7
157,12,12
158,11,10
159,11,11
160,13,12
161,11,11
162,9,9
163,12,11
164,11,9
165,9,10
166,13,13
167,11,9
168,13,13
169,7,8
170,9,8
171,11,10
172,12,10
173,10,10
174,9,8
175,8,8
176,7,6
177,8,9
178,9,8
179,8,8
180,8,7
181,9,10
182,17,17
183,12,12
184,16,16
185,9,9
