customer_id,age,balance,campaign,y
3777,40,580,1,no
9929,47,3644,2,no
33410,25,538,1,no
31886,42,1773,1,no
15739,56,217,2,no
30814,28,1134,3,no
35464,24,1085,6,no
31383,37,127,4,no
16905,30,3,1,no
11931,38,258,2,no
34146,33,498,1,yes
37829,48,65,1,no
1867,30,18,1,no
31272,31,883,2,yes
30575,30,640,4,no
41829,30,536,1,yes
37182,35,247,1,no
39043,31,518,1,no
5549,46,0,3,no
34198,33,5437,1,yes
26192,49,-478,1,no
35079,35,991,3,yes
34620,43,-755,1,no
6428,44,-239,3,no
27378,33,3017,3,no
2730,33,184,4,no
40983,23,431,2,yes
19152,47,699,1,no
18901,60,914,1,no
2056,51,7816,2,no
25354,56,728,2,no
25610,59,3428,1,no
23727,49,223,22,no
19139,49,2254,1,no
24803,56,589,1,no
21888,38,79,2,no
1115,46,78,1,no
14447,58,409,2,no
5140,36,352,2,no
37864,29,-312,2,no
29031,39,1044,1,no
19712,36,227,4,no
24089,37,1967,1,yes
34785,44,650,2,no
36956,34,1309,2,no
1378,51,115,1,no
44124,27,337,1,yes
3945,49,874,2,no
43709,65,679,2,no
9605,36,8114,1,no
29261,32,453,1,no
34714,56,0,2,no
16658,28,258,1,no
14922,59,2540,5,no
12342,28,196,7,no
29676,33,14889,3,no
13254,44,0,2,no
11332,39,1340,2,no
39775,33,1323,1,yes
11840,60,4722,3,no
44107,34,267,2,yes
1645,33,60,1,no
22856,39,355,5,no
5848,31,-452,5,no
12575,38,93,2,no
26529,32,10142,1,no
298,24,82,2,no
35980,40,1270,2,no
14957,47,80,5,no
36271,37,-17,2,no
29717,57,113,2,no
3026,44,447,5,no
38858,31,-348,1,no
31165,29,238,1,no
1471,60,7601,1,no
36554,55,-14,4,no
10461,50,210,2,no
17399,26,1163,4,no
40430,28,492,1,no
16619,41,2661,1,no
5,33,1,1,no
647,37,123,2,no
9135,53,104,1,yes
25090,45,-312,4,no
42355,61,2282,1,no
28093,48,375,3,no
39911,29,1165,1,yes
23892,34,91,4,no
9206,35,188,2,yes
9732,43,861,1,no
32547,30,249,1,no
23314,58,413,5,no
23375,54,204,5,no
5569,27,1492,13,no
40784,45,3857,2,no
21750,50,329,4,no
899,49,326,2,no
34227,28,1984,2,no
40893,34,256,2,no
315,33,193,2,no
17664,36,-129,3,no
8511,27,691,2,no
8455,40,1734,4,no
29582,34,563,2,no
10160,47,303,1,no
2944,40,1313,1,no
32271,56,6483,2,no
19767,60,73,2,yes
1001,47,0,1,no
13400,54,4816,1,no
15332,31,117,1,no
40500,52,37,1,no
44584,24,431,11,yes
13927,30,5,5,yes
36116,46,-339,2,no
2136,45,171,1,no
39958,40,595,2,yes
37748,32,684,3,yes
17299,26,4,2,no
43552,35,0,3,no
30040,53,230,2,no
23059,49,108,6,no
20161,52,0,4,no
21747,41,15302,4,no
3790,57,4168,1,no
10895,51,48,1,no
36127,31,166,1,no
26361,36,11675,1,no
13315,35,329,3,no
21248,49,154,15,no
31943,35,7962,2,no
37570,31,466,1,no
37721,37,969,2,no
42928,32,2976,1,yes
9142,41,4320,2,no
4327,30,880,6,yes
30916,36,1245,7,no
30137,33,315,3,yes
33282,51,1153,5,no
23836,32,0,2,no
31471,40,442,1,no
21621,43,483,6,yes
4036,34,695,4,yes
10424,40,84,7,no
44540,51,2007,3,yes
40437,58,0,2,yes
26398,47,1315,4,yes
14166,52,698,2,no
8250,53,6525,3,no
5523,32,736,3,no
13890,32,0,1,no
41150,49,9131,1,yes
35927,57,13,2,no
44710,38,14352,1,no
36598,32,-410,3,no
34205,20,292,1,no
30857,32,298,4,no
19634,33,3915,4,no
42909,30,145,3,no
10689,37,264,1,no
17050,34,0,3,no
3618,32,289,12,no
29184,36,82,1,no
17100,49,560,3,no
23343,49,410,7,no
2625,53,887,2,no
40497,53,6649,1,no
44502,56,3450,1,yes
12423,50,3988,4,no
29254,31,1,6,no
43945,75,962,1,no
41529,34,158,2,yes
17816,56,-82,6,no
28327,56,545,1,no
39158,44,59,4,no
4520,38,434,1,no
30170,51,300,6,no
9921,42,1206,4,no
30949,37,784,3,no
7071,26,245,2,no
27996,43,1035,1,no
8091,31,1475,1,no
43014,36,341,2,yes
42270,46,2671,3,no
43980,27,6791,5,no
24047,37,199,1,no
16469,36,699,1,no
14010,27,-23,4,no
31683,41,2185,4,no
24940,44,318,2,no
20399,32,715,1,no
31623,24,1684,4,no
9539,60,10285,2,no
843,31,147,1,no
17055,57,909,2,no
26209,34,3043,1,yes
16923,31,430,16,no
13989,46,1,7,no
27235,44,4119,1,yes
22406,35,-126,2,no
14450,30,-287,3,no
15001,37,1142,2,no
33219,42,72,2,no
38865,33,-52,1,no
23418,50,238,5,no
17667,41,261,15,no
