employee_id,productivity,hours_worked,age,experience,department,day,quarter,education,designation
1190,0.700505263,6840,30.48,30,sweing,Wednesday,Quarter2,High School,Senior
576,0.504596491,2280,3.94,0,finishing,Monday,Quarter1,High School,Senior
77,0.763375,960,2.9,0,finishing,Monday,Quarter1,Bachelor,Junior
732,1.096633333,1800,4.15,0,finishing,Thursday,Quarter2,High School,Senior
139,0.800107143,15120,11.61,63,sweing,Thursday,Quarter2,Master,Senior
315,0.600062696,10440,20.4,30,sweing,Sunday,Quarter3,Master,Lead
671,0.607416667,960,3.94,0,finishing,Sunday,Quarter2,High School,Lead
933,0.750206897,6960,29.4,45,sweing,Wednesday,Quarter4,Master,Lead
64,0.893663194,3840,3.94,0,finishing,Monday,Quarter1,Bachelor,Junior
142,0.779791667,1440,3.94,0,finishing,Thursday,Quarter2,Master,Junior
543,1.0115625,960,4.15,0,finishing,Sunday,Quarter1,Master,Lead
1053,0.806058333,960,3.94,0,finishing,Wednesday,Quarter1,Bachelor,Junior
363,0.750068049,10260,22.52,63,sweing,Wednesday,Quarter3,Bachelor,Lead
140,0.800024932,14640,11.41,50,sweing,Thursday,Quarter2,High School,Senior
843,0.2565,960,5.13,0,finishing,Wednesday,Quarter3,Master,Junior
831,0.800279693,3960,22.52,63,sweing,Wednesday,Quarter3,Bachelor,Senior
225,0.850136766,10170,25.9,60,sweing,Tuesday,Quarter2,High School,Senior
310,0.662255892,5670,26.87,56,sweing,Sunday,Quarter3,High School,Junior
267,0.850136766,10170,25.9,60,sweing,Thursday,Quarter3,Master,Junior
964,0.271875,3360,2.9,0,finishing,Thursday,Quarter4,High School,Senior
498,0.259375,960,2.9,0,finishing,Wednesday,Quarter4,High School,Lead
391,0.460578704,12000,3.94,0,finishing,Thursday,Quarter4,Bachelor,Lead
567,0.85695,1200,3.94,0,finishing,Monday,Quarter1,High School,Senior
616,0.650834808,5820,30.1,0,sweing,Wednesday,Quarter1,High School,Lead
839,0.58,960,5.13,0,finishing,Wednesday,Quarter3,Bachelor,Junior
747,0.463403955,7080,30.1,0,sweing,Thursday,Quarter2,High School,Junior
1089,0.850520588,4080,15.26,75,sweing,Saturday,Quarter1,High School,Lead
574,0.700354545,3960,18.79,30,sweing,Monday,Quarter1,High School,Junior
910,0.750727326,5640,30.1,45,sweing,Tuesday,Quarter4,Master,Junior
760,0.700206125,5160,30.1,0,sweing,Saturday,Quarter2,Master,Senior
589,0.800434622,5460,22.52,63,sweing,Tuesday,Quarter1,Master,Senior
293,0.661837121,1440,2.9,0,finishing,Saturday,Quarter3,Master,Lead
632,0.700079032,2760,18.79,30,sweing,Thursday,Quarter1,Bachelor,Senior
833,0.75053268,2280,30.1,45,sweing,Wednesday,Quarter3,Bachelor,Lead
738,0.688017677,3960,18.79,0,sweing,Thursday,Quarter2,High School,Senior
40,0.6253125,960,3.94,0,finishing,Saturday,Quarter1,Master,Senior
31,0.800125,6720,25.9,50,sweing,Saturday,Quarter1,Bachelor,Junior
243,0.864583333,1440,4.15,0,finishing,Wednesday,Quarter2,Master,Senior
428,0.800020563,10080,22.52,69,sweing,Sunday,Quarter4,High School,Junior
137,0.800497246,10050,28.08,63,sweing,Thursday,Quarter2,Bachelor,Senior
968,0.800260821,1700,15.26,62,sweing,Saturday,Quarter4,Master,Senior
827,0.8211125,3360,11.41,30,sweing,Wednesday,Quarter3,Master,Lead
4,0.800570492,3660,11.41,50,sweing,Thursday,Quarter1,Master,Senior
586,0.950185965,6840,22.52,100,sweing,Tuesday,Quarter1,High School,Lead
766,0.238041667,960,3.94,0,finishing,Saturday,Quarter2,Master,Lead
1031,0.800333333,6840,29.4,50,sweing,Tuesday,Quarter1,High School,Senior
383,0.670216049,9000,4.3,0,finishing,Thursday,Quarter4,High School,Senior
