orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10100,2003-01-06,2003-01-13,2003-01-10,Shipped,,363
10101,2003-01-09,2003-01-18,2003-01-11,Shipped,,128
10102,2003-01-10,2003-01-18,2003-01-14,Shipped,,181
10103,2003-01-29,2003-02-07,2003-02-02,Shipped,,121
10104,2003-01-31,2003-02-14,2003-01-29,Shipped,,141
10105,2003-02-11,2003-02-21,2003-02-12,Shipped,,145
10106,2003-02-17,2003-02-24,2003-02-21,Shipped,,278
10107,2003-02-24,2003-03-03,2003-02-26,Shipped,,131
10108,2003-03-03,2003-03-12,2003-03-08,Shipped,,151
10109,2003-03-10,2003-03-24,2003-03-11,Shipped,,333
