applicant_id,job_type,toeic_score
AP0001,영업직,803
AP0002,영업직,702
AP0003,영업직,836
AP0004,영업직,851
AP0005,영업직,634
AP0006,영업직,682
AP0007,영업직,790
AP0008,영업직,756
AP0009,영업직,779
AP0010,영업직,716
AP0011,영업직,846
AP0012,영업직,838
AP0013,영업직,785
AP0014,영업직,865
AP0015,영업직,815
AP0016,영업직,716
AP0017,영업직,808
AP0018,영업직,708
AP0019,영업직,846
AP0020,영업직,776
AP0021,영업직,766
AP0022,영업직,729
AP0023,영업직,872
AP0024,영업직,768
AP0025,영업직,748
AP0026,영업직,754
AP0027,영업직,820
AP0028,영업직,807
AP0029,영업직,811
AP0030,영업직,812
AP0031,영업직,941
AP0032,영업직,750
AP0033,영업직,742
AP0034,영업직,719
AP0035,영업직,826
AP0036,영업직,865
AP0037,영업직,771
AP0038,영업직,717
AP0039,영업직,718
AP0040,영업직,829
AP0041,마케팅직,872
AP0042,마케팅직,858
AP0043,마케팅직,773
AP0044,마케팅직,836
AP0045,마케팅직,828
AP0046,마케팅직,835
AP0047,마케팅직,881
AP0048,마케팅직,836
AP0049,마케팅직,868
AP0050,마케팅직,825
AP0051,마케팅직,840
AP0052,마케팅직,864
AP0053,마케팅직,718
AP0054,마케팅직,798
AP0055,마케팅직,787
AP0056,마케팅직,775
AP0057,마케팅직,801
AP0058,마케팅직,925
AP0059,마케팅직,759
AP0060,마케팅직,888
AP0061,마케팅직,702
AP0062,마케팅직,797
AP0063,마케팅직,831
AP0064,마케팅직,861
AP0065,마케팅직,870
AP0066,마케팅직,876
AP0067,마케팅직,796
AP0068,마케팅직,788
AP0069,마케팅직,880
AP0070,마케팅직,807
AP0071,마케팅직,731
AP0072,마케팅직,741
AP0073,마케팅직,756
AP0074,마케팅직,855
AP0075,마케팅직,830
AP0076,마케팅직,868
AP0077,마케팅직,790
AP0078,마케팅직,831
AP0079,마케팅직,864
AP0080,마케팅직,798
AP0081,IT직,900
AP0082,IT직,827
AP0083,IT직,846
AP0084,IT직,845
AP0085,IT직,792
AP0086,IT직,902
AP0087,IT직,839
AP0088,IT직,871
AP0089,IT직,901
AP0090,IT직,899
AP0091,IT직,913
AP0092,IT직,864
AP0093,IT직,842
AP0094,IT직,865
AP0095,IT직,760
AP0096,IT직,776
AP0097,IT직,784
AP0098,IT직,805
AP0099,IT직,896
AP0100,IT직,811
AP0101,IT직,845
AP0102,IT직,954
AP0103,IT직,847
AP0104,IT직,918
AP0105,IT직,809
AP0106,IT직,857
AP0107,IT직,808
AP0108,IT직,848
AP0109,IT직,925
AP0110,IT직,758
AP0111,IT직,898
AP0112,IT직,885
AP0113,IT직,831
AP0114,IT직,776
AP0115,IT직,875
AP0116,IT직,836
AP0117,IT직,885
AP0118,IT직,871
AP0119,IT직,974
AP0120,IT직,854
AP0121,기획직,726
AP0122,기획직,813
AP0123,기획직,816
AP0124,기획직,898
AP0125,기획직,860
AP0126,기획직,826
AP0127,기획직,905
AP0128,기획직,714
AP0129,기획직,754
AP0130,기획직,733
AP0131,기획직,772
AP0132,기획직,701
AP0133,기획직,846
AP0134,기획직,784
AP0135,기획직,694
AP0136,기획직,727
AP0137,기획직,823
AP0138,기획직,860
AP0139,기획직,944
AP0140,기획직,990
AP0141,기획직,830
AP0142,기획직,729
AP0143,기획직,646
AP0144,기획직,819
AP0145,기획직,741
AP0146,기획직,770
AP0147,기획직,756
AP0148,기획직,790
AP0149,기획직,877
AP0150,기획직,811
AP0151,기획직,789
AP0152,기획직,725
AP0153,기획직,679
AP0154,기획직,765
AP0155,기획직,796
AP0156,기획직,927
AP0157,기획직,809
AP0158,기획직,871
AP0159,기획직,764
AP0160,기획직,715
