applicant_id,hire_type,final_pass
J0001,추천채용,불합격
J0002,공개채용,불합격
J0003,인턴전환,합격
J0004,추천채용,합격
J0005,공개채용,합격
J0006,인턴전환,합격
J0007,추천채용,합격
J0008,추천채용,불합격
J0009,공개채용,불합격
J0010,공개채용,불합격
J0011,공개채용,불합격
J0012,인턴전환,합격
J0013,추천채용,합격
J0014,인턴전환,합격
J0015,공개채용,불합격
J0016,공개채용,불합격
J0017,추천채용,합격
J0018,공개채용,불합격
J0019,인턴전환,합격
J0020,추천채용,불합격
J0021,추천채용,불합격
J0022,공개채용,불합격
J0023,인턴전환,합격
J0024,인턴전환,합격
J0025,추천채용,불합격
J0026,공개채용,불합격
J0027,공개채용,합격
J0028,공개채용,불합격
J0029,공개채용,불합격
J0030,추천채용,합격
J0031,추천채용,불합격
J0032,인턴전환,합격
J0033,공개채용,불합격
J0034,공개채용,합격
J0035,공개채용,불합격
J0036,공개채용,불합격
J0037,공개채용,불합격
J0038,공개채용,합격
J0039,공개채용,불합격
J0040,추천채용,불합격
J0041,공개채용,불합격
J0042,인턴전환,불합격
J0043,추천채용,불합격
J0044,공개채용,불합격
J0045,인턴전환,불합격
J0046,인턴전환,불합격
J0047,공개채용,합격
J0048,공개채용,불합격
J0049,추천채용,불합격
J0050,공개채용,불합격
J0051,공개채용,불합격
J0052,공개채용,불합격
J0053,추천채용,불합격
J0054,추천채용,불합격
J0055,추천채용,합격
J0056,추천채용,합격
J0057,공개채용,합격
J0058,추천채용,불합격
J0059,공개채용,불합격
J0060,공개채용,불합격
J0061,추천채용,불합격
J0062,공개채용,불합격
J0063,추천채용,합격
J0064,추천채용,합격
J0065,추천채용,불합격
J0066,추천채용,합격
J0067,추천채용,불합격
J0068,공개채용,불합격
J0069,공개채용,불합격
J0070,공개채용,합격
J0071,공개채용,합격
J0072,공개채용,불합격
J0073,인턴전환,합격
J0074,공개채용,불합격
J0075,공개채용,불합격
J0076,공개채용,불합격
J0077,공개채용,합격
J0078,추천채용,합격
J0079,추천채용,합격
J0080,추천채용,불합격
J0081,추천채용,불합격
J0082,공개채용,합격
J0083,인턴전환,불합격
J0084,공개채용,불합격
J0085,공개채용,불합격
J0086,공개채용,합격
J0087,추천채용,불합격
J0088,공개채용,합격
J0089,공개채용,불합격
J0090,공개채용,합격
J0091,공개채용,불합격
J0092,추천채용,합격
J0093,공개채용,불합격
J0094,공개채용,불합격
J0095,공개채용,불합격
J0096,추천채용,합격
J0097,공개채용,합격
J0098,공개채용,불합격
J0099,공개채용,불합격
J0100,인턴전환,합격
J0101,인턴전환,합격
J0102,추천채용,불합격
J0103,공개채용,합격
J0104,인턴전환,합격
J0105,추천채용,불합격
J0106,추천채용,불합격
J0107,공개채용,불합격
J0108,공개채용,합격
J0109,공개채용,불합격
J0110,인턴전환,불합격
J0111,공개채용,불합격
J0112,공개채용,불합격
J0113,공개채용,불합격
J0114,추천채용,불합격
J0115,공개채용,불합격
J0116,인턴전환,합격
J0117,추천채용,합격
J0118,추천채용,불합격
J0119,공개채용,불합격
J0120,추천채용,불합격
J0121,추천채용,불합격
J0122,추천채용,합격
J0123,공개채용,불합격
J0124,공개채용,불합격
J0125,공개채용,불합격
J0126,공개채용,합격
J0127,공개채용,불합격
J0128,공개채용,합격
J0129,공개채용,불합격
J0130,추천채용,불합격
J0131,공개채용,합격
J0132,인턴전환,불합격
J0133,추천채용,불합격
J0134,공개채용,합격
J0135,추천채용,합격
J0136,공개채용,불합격
J0137,인턴전환,합격
J0138,공개채용,불합격
J0139,추천채용,불합격
J0140,공개채용,불합격
J0141,공개채용,합격
J0142,공개채용,불합격
J0143,인턴전환,불합격
J0144,추천채용,합격
J0145,공개채용,불합격
J0146,공개채용,합격
J0147,공개채용,합격
J0148,공개채용,불합격
J0149,공개채용,불합격
J0150,공개채용,불합격
J0151,인턴전환,합격
J0152,인턴전환,불합격
J0153,공개채용,합격
J0154,추천채용,합격
J0155,공개채용,불합격
J0156,추천채용,합격
J0157,공개채용,합격
J0158,추천채용,합격
J0159,추천채용,불합격
J0160,추천채용,불합격
J0161,공개채용,불합격
J0162,인턴전환,합격
J0163,공개채용,합격
J0164,공개채용,불합격
J0165,추천채용,불합격
J0166,공개채용,불합격
J0167,인턴전환,합격
J0168,인턴전환,불합격
J0169,공개채용,불합격
J0170,인턴전환,합격
J0171,공개채용,불합격
J0172,공개채용,불합격
J0173,공개채용,불합격
J0174,인턴전환,합격
J0175,공개채용,불합격
J0176,공개채용,불합격
J0177,공개채용,불합격
J0178,인턴전환,합격
J0179,인턴전환,합격
J0180,추천채용,합격
J0181,인턴전환,합격
J0182,인턴전환,합격
J0183,공개채용,불합격
J0184,공개채용,불합격
J0185,추천채용,합격
J0186,추천채용,합격
J0187,공개채용,불합격
J0188,공개채용,불합격
J0189,추천채용,불합격
J0190,공개채용,불합격
J0191,인턴전환,합격
J0192,공개채용,불합격
J0193,공개채용,불합격
J0194,인턴전환,합격
J0195,공개채용,합격
J0196,공개채용,불합격
J0197,추천채용,합격
J0198,인턴전환,합격
J0199,공개채용,불합격
J0200,공개채용,불합격
J0201,추천채용,불합격
J0202,인턴전환,불합격
J0203,공개채용,합격
J0204,공개채용,불합격
J0205,공개채용,불합격
J0206,공개채용,합격
J0207,공개채용,불합격
J0208,추천채용,불합격
J0209,공개채용,불합격
J0210,공개채용,불합격
J0211,추천채용,합격
J0212,추천채용,불합격
J0213,공개채용,불합격
J0214,인턴전환,합격
J0215,추천채용,합격
J0216,추천채용,합격
J0217,공개채용,불합격
J0218,공개채용,합격
J0219,인턴전환,합격
J0220,공개채용,합격
J0221,공개채용,합격
J0222,공개채용,불합격
J0223,추천채용,합격
J0224,인턴전환,합격
J0225,공개채용,불합격
J0226,인턴전환,합격
J0227,공개채용,합격
J0228,추천채용,불합격
J0229,추천채용,불합격
J0230,공개채용,불합격
J0231,공개채용,불합격
J0232,공개채용,합격
J0233,인턴전환,합격
J0234,추천채용,불합격
J0235,인턴전환,합격
J0236,인턴전환,합격
J0237,공개채용,불합격
J0238,추천채용,합격
J0239,공개채용,불합격
J0240,공개채용,합격
J0241,인턴전환,불합격
J0242,추천채용,불합격
J0243,공개채용,합격
J0244,공개채용,합격
J0245,추천채용,합격
J0246,인턴전환,합격
J0247,추천채용,합격
J0248,공개채용,불합격
J0249,공개채용,합격
J0250,공개채용,불합격
J0251,추천채용,합격
J0252,인턴전환,합격
J0253,공개채용,불합격
J0254,공개채용,합격
J0255,공개채용,불합격
J0256,추천채용,합격
J0257,인턴전환,합격
J0258,공개채용,불합격
J0259,공개채용,불합격
J0260,추천채용,합격
J0261,공개채용,불합격
J0262,인턴전환,합격
J0263,공개채용,합격
J0264,공개채용,불합격
J0265,인턴전환,합격
J0266,공개채용,불합격
J0267,공개채용,합격
J0268,공개채용,불합격
J0269,공개채용,불합격
J0270,공개채용,불합격
J0271,공개채용,불합격
J0272,공개채용,합격
J0273,공개채용,불합격
J0274,추천채용,불합격
J0275,추천채용,불합격
J0276,공개채용,불합격
J0277,공개채용,합격
J0278,공개채용,불합격
J0279,인턴전환,불합격
J0280,인턴전환,합격
J0281,공개채용,불합격
J0282,공개채용,불합격
J0283,공개채용,불합격
J0284,공개채용,불합격
J0285,추천채용,불합격
J0286,공개채용,불합격
J0287,공개채용,불합격
J0288,공개채용,불합격
J0289,공개채용,불합격
J0290,공개채용,불합격
J0291,인턴전환,불합격
J0292,공개채용,불합격
J0293,인턴전환,합격
J0294,공개채용,불합격
J0295,인턴전환,합격
J0296,인턴전환,합격
J0297,인턴전환,합격
J0298,인턴전환,합격
J0299,추천채용,불합격
J0300,추천채용,불합격
