applicant_id,univ_tier,toeic_score,gpa,intern_count,cert_count,doc_pass
JB0001,2,772.0,3.65,0.0,2.0,1
JB0002,1,622.0,3.39,2.0,1.0,0
JB0003,2,648.0,3.68,1.0,2.0,1
JB0004,1,972.0,3.38,2.0,1.0,1
JB0005,0,664.0,3.87,3.0,5.0,1
JB0006,2,681.0,2.77,4.0,1.0,0
JB0007,2,945.0,3.37,2.0,2.0,1
JB0008,2,990.0,2.7,0.0,3.0,1
JB0009,0,675.0,2.9,1.0,0.0,0
JB0010,1,747.0,4.05,4.0,2.0,1
JB0011,0,811.0,3.86,2.0,2.0,1
JB0012,2,936.0,3.21,3.0,1.0,1
JB0013,1,691.0,2.9,2.0,0.0,1
JB0014,2,758.0,2.31,0.0,0.0,0
JB0015,1,850.0,3.28,4.0,0.0,1
JB0016,0,819.0,4.47,3.0,2.0,1
JB0017,1,746.0,3.67,4.0,0.0,1
JB0018,0,768.0,3.28,4.0,5.0,1
JB0019,2,656.0,3.69,1.0,1.0,1
JB0020,1,759.0,2.88,1.0,3.0,1
JB0021,2,756.0,3.38,1.0,4.0,1
JB0022,0,801.0,3.54,4.0,2.0,1
JB0023,2,730.0,3.47,2.0,5.0,1
JB0024,2,822.0,3.82,2.0,0.0,1
JB0025,2,871.0,3.64,4.0,1.0,1
JB0026,0,794.0,3.77,3.0,1.0,1
JB0027,1,812.0,3.22,4.0,0.0,1
JB0028,0,785.0,3.86,4.0,1.0,1
JB0029,0,780.0,4.15,0.0,1.0,1
JB0030,1,715.0,3.11,1.0,4.0,1
JB0031,1,808.0,3.14,3.0,1.0,1
JB0032,2,771.0,4.03,4.0,5.0,1
JB0033,0,968.0,3.42,0.0,4.0,1
JB0034,0,922.0,4.06,1.0,5.0,1
JB0035,1,815.0,3.32,2.0,0.0,1
JB0036,0,711.0,4.08,3.0,5.0,1
JB0037,0,680.0,3.55,0.0,3.0,1
JB0038,1,887.0,3.6,3.0,5.0,1
JB0039,0,804.0,4.13,1.0,2.0,1
JB0040,1,823.0,3.36,1.0,5.0,0
JB0041,1,623.0,3.12,2.0,3.0,1
JB0042,2,863.0,3.32,2.0,0.0,1
JB0043,1,821.0,3.68,3.0,2.0,1
JB0044,0,680.0,2.87,1.0,0.0,0
JB0045,2,738.0,3.75,4.0,5.0,1
JB0046,2,804.0,3.28,0.0,1.0,1
JB0047,0,785.0,3.96,4.0,1.0,1
JB0048,0,754.0,2.54,0.0,3.0,0
JB0049,1,771.0,3.19,3.0,2.0,1
JB0050,0,757.0,2.83,1.0,0.0,1
JB0051,0,794.0,3.17,1.0,4.0,1
JB0052,0,912.0,3.6,0.0,5.0,1
JB0053,2,549.0,3.43,3.0,4.0,0
JB0054,1,759.0,3.4,0.0,3.0,0
JB0055,1,796.0,3.44,3.0,2.0,1
JB0056,2,807.0,3.58,3.0,3.0,1
JB0057,1,747.0,3.1,4.0,3.0,1
JB0058,1,622.0,3.78,3.0,0.0,1
JB0059,0,810.0,3.77,1.0,0.0,1
JB0060,0,935.0,3.65,3.0,1.0,1
JB0061,1,642.0,3.72,4.0,2.0,1
JB0062,1,858.0,3.62,1.0,0.0,0
JB0063,1,750.0,4.31,0.0,0.0,0
JB0064,2,774.0,3.47,4.0,5.0,1
JB0065,1,685.0,3.38,0.0,2.0,0
JB0066,1,750.0,3.2,2.0,3.0,1
JB0067,1,897.0,3.09,1.0,3.0,1
JB0068,0,832.0,3.0,0.0,4.0,1
JB0069,0,936.0,3.14,3.0,4.0,1
JB0070,1,886.0,3.47,0.0,1.0,1
JB0071,0,820.0,3.63,3.0,5.0,1
JB0072,1,937.0,3.52,3.0,2.0,1
