applicant_id,company_type,age,gpa,toeic_score,has_intern,final_pass
HR0001,스타트업,31.0,3.39,818.0,없음,1
HR0002,중견기업,31.0,3.59,821.0,없음,0
HR0003,스타트업,25.0,3.28,902.0,없음,1
HR0004,중견기업,31.0,3.69,761.0,없음,1
HR0005,대기업,24.0,3.91,704.0,있음,0
HR0006,스타트업,28.0,3.56,881.0,있음,1
HR0007,스타트업,27.0,3.64,762.0,있음,1
HR0008,스타트업,26.0,3.52,885.0,없음,1
HR0009,대기업,23.0,3.5,866.0,없음,1
HR0010,중견기업,30.0,3.21,779.0,있음,1
HR0011,중견기업,26.0,3.63,820.0,있음,1
HR0012,스타트업,29.0,3.46,956.0,있음,1
HR0013,중견기업,27.0,4.34,967.0,없음,1
HR0014,스타트업,26.0,4.13,796.0,있음,0
HR0015,중견기업,31.0,3.65,804.0,있음,1
HR0016,대기업,23.0,3.19,915.0,있음,1
HR0017,중견기업,30.0,3.06,718.0,있음,0
HR0018,대기업,30.0,3.98,863.0,있음,1
HR0019,스타트업,26.0,3.61,788.0,있음,1
HR0020,중견기업,25.0,3.69,817.0,있음,1
HR0021,스타트업,23.0,2.8,719.0,있음,1
HR0022,중견기업,32.0,3.87,655.0,있음,0
HR0023,스타트업,32.0,3.68,614.0,있음,1
HR0024,스타트업,25.0,3.06,695.0,있음,1
HR0025,스타트업,23.0,3.31,751.0,없음,1
HR0026,대기업,24.0,3.61,800.0,있음,1
HR0027,중견기업,23.0,3.52,955.0,있음,1
HR0028,대기업,31.0,3.38,920.0,있음,1
HR0029,대기업,31.0,3.46,762.0,있음,1
HR0030,중견기업,24.0,3.4,820.0,있음,1
HR0031,중견기업,30.0,3.56,755.0,있음,0
HR0032,스타트업,24.0,4.09,766.0,없음,1
HR0033,대기업,26.0,2.47,836.0,있음,0
HR0034,중견기업,28.0,3.41,843.0,있음,1
HR0035,중견기업,30.0,3.57,761.0,있음,1
HR0036,대기업,31.0,3.62,896.0,있음,1
HR0037,대기업,23.0,3.35,749.0,있음,0
HR0038,중견기업,24.0,2.8,791.0,없음,0
HR0039,대기업,25.0,3.63,990.0,없음,1
HR0040,중견기업,26.0,4.19,809.0,있음,1
HR0041,중견기업,32.0,2.89,912.0,있음,1
HR0042,스타트업,30.0,3.85,798.0,있음,1
HR0043,중견기업,26.0,3.37,839.0,있음,0
HR0044,대기업,32.0,3.48,821.0,없음,1
HR0045,스타트업,27.0,3.08,776.0,있음,1
HR0046,스타트업,28.0,3.37,724.0,있음,0
HR0047,중견기업,27.0,4.02,827.0,없음,1
HR0048,대기업,24.0,3.73,739.0,있음,0
HR0049,중견기업,32.0,4.19,847.0,있음,1
HR0050,대기업,23.0,3.97,919.0,없음,1
HR0051,대기업,24.0,3.68,858.0,있음,0
HR0052,대기업,25.0,4.2,804.0,있음,1
HR0053,스타트업,25.0,3.68,829.0,있음,1
HR0054,중견기업,24.0,3.83,764.0,없음,1
HR0055,중견기업,23.0,3.38,870.0,있음,1
HR0056,스타트업,29.0,3.53,634.0,있음,0
HR0057,중견기업,32.0,3.22,761.0,있음,0
HR0058,중견기업,24.0,3.9,621.0,있음,0
HR0059,대기업,25.0,3.03,692.0,없음,0
HR0060,대기업,28.0,3.81,952.0,있음,1
