emp_id,channel,monthly_sales
ON0001,온라인,3358.5
ON0002,온라인,2659.2
ON0003,온라인,3590.2
ON0004,온라인,3689.1
ON0005,온라인,2185.5
ON0006,온라인,2522.9
ON0007,온라인,3266.5
ON0008,온라인,3035.6
ON0009,온라인,3191.3
ON0010,온라인,2756.4
ON0011,온라인,3657.3
ON0012,온라인,3604.5
ON0013,온라인,3234.3
ON0014,온라인,3786.2
ON0015,온라인,3443.1
ON0016,온라인,2753.2
ON0017,온라인,3391.8
ON0018,온라인,2701.4
ON0019,온라인,3656.8
ON0020,온라인,3174.0
ON0021,온라인,3103.9
ON0022,온라인,2845.9
ON0023,온라인,3835.7
ON0024,온라인,3119.6
ON0025,온라인,2977.3
ON0026,온라인,3016.9
ON0027,온라인,3476.8
ON0028,온라인,3390.0
ON0029,온라인,3414.6
ON0030,온라인,3424.0
ON0031,온라인,4313.7
ON0032,온라인,2988.7
ON0033,온라인,2933.6
ON0034,온라인,2776.8
ON0035,온라인,3520.3
ON0036,온라인,3787.1
ON0037,온라인,3140.7
ON0038,온라인,2763.1
ON0039,온라인,2771.3
ON0040,온라인,3538.3
ON0041,온라인,3586.5
ON0042,온라인,3482.4
ON0043,온라인,2853.9
ON0044,온라인,3320.7
ON0045,온라인,3260.7
ON0046,온라인,3313.7
ON0047,온라인,3653.1
ON0048,온라인,3316.3
ON0049,온라인,3553.0
ON0050,온라인,3235.1
ON0051,온라인,3350.3
ON0052,온라인,3528.3
ON0053,온라인,2442.3
ON0054,온라인,3033.8
ON0055,온라인,2955.4
ON0056,온라인,2867.8
ON0057,온라인,3056.9
ON0058,온라인,3977.4
ON0059,온라인,2749.8
ON0060,온라인,3703.5
ON0061,온라인,2324.9
ON0062,온라인,3025.9
ON0063,온라인,3284.6
ON0064,온라인,3504.8
ON0065,온라인,3569.8
ON0066,온라인,3612.5
ON0067,온라인,3018.7
ON0068,온라인,2959.6
ON0069,온라인,3646.1
ON0070,온라인,3100.5
ON0071,온라인,2536.6
ON0072,온라인,2610.7
ON0073,온라인,2721.9
ON0074,온라인,3458.5
ON0075,온라인,3274.1
ON0076,온라인,3559.1
ON0077,온라인,2977.8
ON0078,온라인,3282.4
ON0079,온라인,3525.3
ON0080,온라인,3039.1
OF0001,오프라인,3214.9
OF0002,오프라인,2566.1
OF0003,오프라인,2739.4
OF0004,오프라인,2728.6
OF0005,오프라인,2256.4
OF0006,오프라인,3232.4
OF0007,오프라인,2677.7
OF0008,오프라인,2957.2
OF0009,오프라인,3228.8
OF0010,오프라인,3209.0
OF0011,오프라인,3335.9
OF0012,오프라인,2892.9
OF0013,오프라인,2704.5
OF0014,오프라인,2903.8
OF0015,오프라인,1971.3
OF0016,오프라인,2110.7
OF0017,오프라인,2182.8
OF0018,오프라인,2371.6
OF0019,오프라인,3181.9
OF0020,오프라인,2424.8
OF0021,오프라인,2730.7
OF0022,오프라인,3703.6
OF0023,오프라인,2743.4
OF0024,오프라인,3377.8
OF0025,오프라인,2408.5
OF0026,오프라인,2830.8
OF0027,오프라인,2399.0
OF0028,오프라인,2753.4
OF0029,오프라인,3437.4
OF0030,오프라인,1948.2
OF0031,오프라인,3202.0
OF0032,오프라인,3087.9
OF0033,오프라인,2605.4
OF0034,오프라인,2111.3
OF0035,오프라인,2991.8
OF0036,오프라인,2642.9
OF0037,오프라인,3085.0
OF0038,오프라인,2962.7
OF0039,오프라인,3879.0
OF0040,오프라인,2811.2
OF0041,오프라인,2356.4
OF0042,오프라인,3054.0
OF0043,오프라인,3077.6
OF0044,오프라인,3738.3
OF0045,오프라인,3434.4
OF0046,오프라인,3157.0
OF0047,오프라인,3798.7
OF0048,오프라인,2260.5
OF0049,오프라인,2578.9
OF0050,오프라인,2412.6
OF0051,오프라인,2723.9
OF0052,오프라인,2151.5
OF0053,오프라인,3318.4
OF0054,오프라인,2821.1
OF0055,오프라인,2096.9
OF0056,오프라인,2361.0
OF0057,오프라인,3131.8
OF0058,오프라인,3436.1
OF0059,오프라인,4108.1
OF0060,오프라인,4640.0
OF0061,오프라인,3190.4
OF0062,오프라인,2376.1
OF0063,오프라인,1713.4
OF0064,오프라인,3105.3
OF0065,오프라인,2478.5
OF0066,오프라인,2709.1
OF0067,오프라인,2595.0
OF0068,오프라인,2868.3
OF0069,오프라인,3568.3
OF0070,오프라인,3041.1
OF0071,오프라인,2858.0
OF0072,오프라인,2349.3
OF0073,오프라인,1978.7
OF0074,오프라인,2667.9
OF0075,오프라인,2918.8
