ad_id,category,pre_cvr,post_cvr
AD0001,식품,3.44,3.37
AD0002,패션,2.37,2.84
AD0003,전자기기,3.8,4.47
AD0004,식품,3.95,4.78
AD0005,전자기기,1.64,2.52
AD0006,패션,2.16,3.08
AD0007,패션,3.3,3.76
AD0008,식품,2.95,3.37
AD0009,패션,3.19,4.13
AD0010,패션,2.52,3.04
AD0011,식품,3.9,3.99
AD0012,패션,3.82,3.97
AD0013,전자기기,3.25,3.48
AD0014,패션,4.1,4.9
AD0015,패션,3.57,4.23
AD0016,식품,2.51,3.39
AD0017,전자기기,3.5,3.93
AD0018,패션,2.43,3.09
AD0019,패션,3.9,4.75
AD0020,전자기기,3.16,3.64
AD0021,전자기기,3.05,3.83
AD0022,식품,2.66,3.0
AD0023,식품,4.18,4.63
AD0024,식품,3.08,3.53
AD0025,식품,2.86,2.98
AD0026,식품,2.92,3.71
AD0027,패션,3.63,4.04
AD0028,패션,3.49,4.09
AD0029,패션,3.53,4.32
AD0030,전자기기,3.54,4.32
AD0031,식품,4.91,5.78
AD0032,식품,2.87,3.43
AD0033,식품,2.79,3.22
AD0034,전자기기,2.55,3.12
AD0035,패션,3.69,3.62
AD0036,패션,4.1,4.12
AD0037,패션,3.11,3.18
AD0038,식품,2.53,2.73
AD0039,전자기기,2.54,3.3
AD0040,식품,3.72,3.96
AD0041,식품,3.79,4.24
AD0042,전자기기,3.63,4.75
AD0043,패션,2.67,3.13
AD0044,식품,3.39,4.29
AD0045,식품,3.29,3.52
AD0046,식품,3.37,3.89
AD0047,전자기기,3.9,4.12
AD0048,패션,3.38,3.84
AD0049,전자기기,3.74,4.68
AD0050,패션,3.25,3.16
AD0051,식품,3.43,4.2
AD0052,식품,3.71,4.41
AD0053,전자기기,2.03,2.39
AD0054,식품,2.94,2.96
AD0055,패션,2.82,3.45
AD0056,패션,2.69,3.08
AD0057,식품,2.98,3.67
AD0058,전자기기,4.4,5.01
AD0059,패션,2.51,3.75
AD0060,전자기기,3.97,4.47
