emp_id,region,call_count,visit_count,work_years,training_score,monthly_sales
SE0001,지방,28.0,21.0,14.0,68.5,1144.6
SE0002,지방,97.0,45.0,11.0,70.8,2130.5
SE0003,수도권,85.0,27.0,5.0,69.0,1605.8
SE0004,해외,63.0,36.0,14.0,73.8,1783.1
SE0005,해외,63.0,25.0,7.0,89.7,1411.6
SE0006,지방,105.0,16.0,8.0,41.2,1553.0
SE0007,해외,28.0,39.0,7.0,69.2,1250.5
SE0008,지방,89.0,48.0,3.0,74.1,1900.7
SE0009,수도권,40.0,16.0,14.0,75.6,1118.1
SE0010,수도권,29.0,40.0,1.0,67.5,1085.9
SE0011,해외,72.0,16.0,3.0,50.9,960.9
SE0012,해외,117.0,37.0,4.0,75.9,1815.5
SE0013,해외,93.0,40.0,4.0,92.7,1944.1
SE0014,수도권,96.0,25.0,2.0,53.6,1510.2
SE0015,수도권,91.0,38.0,1.0,82.4,1604.3
SE0016,수도권,98.0,17.0,10.0,68.1,1506.1
SE0017,수도권,71.0,8.0,14.0,71.3,1155.9
SE0018,수도권,32.0,9.0,2.0,59.4,631.4
SE0019,지방,103.0,25.0,5.0,68.0,1832.1
SE0020,수도권,65.0,45.0,8.0,87.6,1808.9
SE0021,해외,70.0,10.0,13.0,79.0,1366.7
SE0022,지방,57.0,25.0,10.0,92.8,1521.5
SE0023,수도권,38.0,36.0,11.0,86.1,1369.5
SE0024,지방,112.0,14.0,9.0,77.3,1678.8
SE0025,해외,98.0,37.0,6.0,92.9,1901.1
SE0026,수도권,84.0,18.0,3.0,77.3,1337.7
SE0027,수도권,60.0,41.0,13.0,81.9,1864.9
SE0028,수도권,102.0,31.0,12.0,68.4,1959.0
SE0029,해외,74.0,29.0,1.0,72.8,1402.3
SE0030,수도권,64.0,12.0,11.0,63.6,1221.5
SE0031,지방,65.0,25.0,2.0,83.9,1353.0
SE0032,지방,42.0,43.0,11.0,57.9,1665.0
SE0033,해외,29.0,5.0,12.0,81.4,888.8
SE0034,수도권,75.0,39.0,2.0,69.7,1455.4
SE0035,해외,108.0,27.0,7.0,86.1,1941.2
SE0036,해외,26.0,37.0,2.0,81.0,1104.2
SE0037,지방,105.0,34.0,8.0,93.8,2083.1
SE0038,수도권,102.0,24.0,13.0,80.8,1864.4
SE0039,해외,47.0,18.0,2.0,53.1,1031.8
SE0040,수도권,83.0,33.0,6.0,71.2,1640.2
SE0041,지방,36.0,11.0,14.0,57.9,1114.3
SE0042,지방,95.0,31.0,5.0,65.8,1778.0
SE0043,수도권,90.0,9.0,2.0,90.1,1246.4
SE0044,지방,55.0,34.0,7.0,79.7,1391.2
SE0045,수도권,26.0,33.0,8.0,63.6,1142.7
SE0046,수도권,117.0,8.0,10.0,59.8,1660.0
SE0047,수도권,64.0,39.0,5.0,72.4,1407.1
SE0048,수도권,109.0,23.0,14.0,57.4,1943.4
SE0049,지방,87.0,40.0,8.0,63.9,1760.0
SE0050,해외,97.0,6.0,5.0,75.7,1421.3
SE0051,수도권,95.0,13.0,14.0,85.9,1531.6
SE0052,수도권,39.0,27.0,13.0,79.3,1341.1
SE0053,수도권,56.0,13.0,7.0,44.5,901.8
SE0054,지방,66.0,19.0,1.0,75.7,1074.9
SE0055,수도권,69.0,34.0,9.0,72.9,1641.5
SE0056,지방,24.0,11.0,8.0,77.0,864.2
SE0057,수도권,74.0,35.0,3.0,91.4,1543.6
SE0058,수도권,35.0,9.0,9.0,47.2,855.0
SE0059,지방,94.0,12.0,12.0,64.9,1582.4
SE0060,지방,88.0,31.0,2.0,79.1,1469.2
SE0061,지방,112.0,40.0,11.0,53.0,2124.0
