emp_id,tier,region,mkt_budget,csat_score,sns_growth,retention_rate,monthly_sales
MK0001,Gold,충청,165.2,3.0,7.25,70.2,2227.6
MK0002,Gold,강원,98.0,1.0,10.46,69.5,1601.8
MK0003,Bronze,수도권,187.5,3.0,7.19,70.4,2179.0
MK0004,Silver,충청,197.0,3.0,0.28,74.0,2246.2
MK0005,Gold,충청,52.4,1.0,4.8,61.9,1031.3
MK0006,Gold,수도권,84.9,4.0,1.48,79.1,1599.3
MK0007,Platinum,수도권,156.4,5.0,3.45,78.6,2466.2
MK0008,Silver,수도권,134.2,1.0,9.53,75.9,1976.1
MK0009,Gold,경상,149.2,4.0,6.91,77.6,2352.1
MK0010,Silver,전라,107.3,1.0,2.9,75.0,1510.4
MK0011,Platinum,수도권,194.0,4.0,1.96,92.4,2637.3
MK0012,Silver,강원,188.9,3.0,5.1,71.1,2285.1
MK0013,Gold,강원,153.3,1.0,1.35,68.9,1717.6
MK0014,Silver,강원,206.4,5.0,2.99,64.5,2444.9
MK0015,Silver,강원,173.4,1.0,5.94,61.7,1921.0
MK0016,Gold,수도권,107.0,3.0,8.47,59.6,1748.9
MK0017,Silver,충청,168.4,1.0,6.83,63.1,1785.9
MK0018,Platinum,강원,102.1,5.0,0.0,71.3,1830.0
MK0019,Silver,강원,193.9,4.0,5.91,75.3,2484.1
MK0020,Silver,강원,147.5,5.0,5.22,72.5,2413.1
MK0021,Silver,전라,140.8,3.0,6.24,64.3,2017.1
MK0022,Silver,경상,116.0,3.0,9.85,81.0,2009.2
MK0023,Silver,충청,211.1,4.0,0.0,79.4,2507.3
MK0024,Bronze,강원,142.3,4.0,3.23,70.4,2052.4
MK0025,Bronze,전라,128.6,5.0,6.77,65.5,2112.9
MK0026,Gold,전라,132.4,1.0,0.26,77.5,1520.5
MK0027,Gold,수도권,176.6,4.0,9.43,73.9,2442.8
MK0028,Gold,전라,168.3,1.0,6.11,57.5,1767.0
MK0029,Bronze,경상,170.6,2.0,7.54,71.3,2007.8
MK0030,Silver,수도권,171.5,5.0,3.29,74.6,2434.7
MK0031,Bronze,경상,257.1,2.0,7.44,63.0,2632.5
MK0032,Gold,수도권,129.7,4.0,8.21,73.9,1976.6
MK0033,Gold,수도권,124.4,3.0,5.7,57.5,1761.3
MK0034,Bronze,수도권,109.3,2.0,5.7,85.4,1855.8
MK0035,Gold,충청,180.8,2.0,5.81,84.5,2321.2
MK0036,Bronze,경상,206.4,3.0,2.41,69.5,2399.9
MK0037,Bronze,충청,144.3,4.0,4.56,75.6,2139.9
MK0038,Bronze,수도권,108.0,4.0,4.54,47.9,1611.1
MK0039,Bronze,수도권,108.8,5.0,6.15,60.4,1857.5
MK0040,Gold,전라,182.5,5.0,8.0,69.1,2566.6
MK0041,Platinum,전라,187.2,4.0,1.82,61.3,2263.0
MK0042,Bronze,경상,177.2,4.0,4.62,79.1,2483.1
MK0043,Silver,수도권,116.7,2.0,9.44,92.0,2058.5
MK0044,Gold,전라,161.6,3.0,2.77,60.2,1950.7
MK0045,Platinum,경상,155.8,1.0,2.53,63.6,1605.2
MK0046,Silver,충청,160.9,2.0,5.61,74.4,1995.8
MK0047,Bronze,수도권,193.6,5.0,7.53,88.1,2768.8
MK0048,Silver,전라,161.2,3.0,5.03,59.8,1995.8
MK0049,Silver,충청,183.9,1.0,8.99,74.5,2089.9
MK0050,Platinum,수도권,153.4,4.0,7.57,90.2,2408.2
MK0051,Silver,강원,164.5,5.0,7.53,55.5,2261.2
MK0052,Gold,충청,181.6,5.0,6.66,59.2,2370.3
MK0053,Bronze,수도권,77.1,2.0,11.98,67.8,1608.0
MK0054,Silver,강원,134.0,3.0,4.38,66.8,1842.7
MK0055,Gold,충청,126.5,3.0,0.0,80.1,1842.6
MK0056,Silver,전라,118.1,2.0,9.81,74.4,1870.0
MK0057,Silver,수도권,136.2,2.0,3.63,54.3,1559.3
MK0058,Platinum,충청,224.7,2.0,5.32,77.2,2412.7
MK0059,Gold,전라,106.7,5.0,8.93,66.2,2161.4
MK0060,Silver,전라,198.4,4.0,0.19,84.7,2359.0
MK0061,Silver,전라,65.9,5.0,1.25,65.7,1415.9
MK0062,Silver,수도권,133.3,5.0,0.2,65.6,1847.3
MK0063,Silver,전라,158.1,5.0,2.62,77.4,2314.7
MK0064,Silver,전라,179.3,1.0,6.32,79.6,2082.7
MK0065,Bronze,강원,185.6,5.0,6.57,76.5,2573.2
MK0066,Platinum,충청,189.7,1.0,5.83,55.1,2036.7
MK0067,Platinum,충청,132.6,3.0,0.76,77.4,1646.3
MK0068,Gold,충청,126.9,3.0,0.0,61.7,1710.1
MK0069,Platinum,강원,192.9,2.0,5.16,74.4,2343.0
MK0070,Gold,전라,140.4,1.0,3.58,57.8,1494.3
MK0071,Gold,전라,86.2,1.0,6.38,76.5,1421.4
MK0072,Gold,강원,93.3,5.0,7.11,63.9,1835.2
MK0073,Silver,전라,104.0,2.0,5.41,59.2,1453.3
MK0074,Silver,강원,174.9,2.0,7.28,79.1,2165.5
MK0075,Bronze,경상,157.1,5.0,5.69,74.4,2472.8
MK0076,Silver,충청,184.5,1.0,6.59,65.9,2158.2
MK0077,Bronze,충청,128.6,5.0,2.89,86.5,2173.3
MK0078,Bronze,수도권,157.9,5.0,4.46,67.6,2431.1
MK0079,Silver,경상,181.3,3.0,5.59,72.3,2259.4
MK0080,Silver,강원,134.5,1.0,7.46,74.7,1918.6
MK0081,Bronze,강원,172.8,1.0,3.82,65.8,1857.6
MK0082,Gold,수도권,116.9,2.0,6.56,76.7,1787.9
MK0083,Gold,전라,131.8,3.0,4.2,66.7,1884.5
MK0084,Bronze,수도권,130.9,1.0,4.65,67.9,1884.6
MK0085,Bronze,경상,90.2,3.0,7.49,85.6,1886.5
MK0086,Silver,전라,174.3,1.0,0.0,61.6,1689.2
MK0087,Gold,수도권,126.5,3.0,1.11,47.9,1670.7
