번호,기간,지역,상표,셀프여부,휘발유
기준 : 일간(20200601~20200607),,,,,
A0011352,20200601.0,강원 강릉시,S-OIL,셀프,1230.0
A0011352,20200602.0,강원 강릉시,S-OIL,셀프,1230.0
A0011352,20200603.0,강원 강릉시,S-OIL,셀프,1240.0
A0011352,20200604.0,강원 강릉시,S-OIL,셀프,1240.0
A0011352,20200605.0,강원 강릉시,S-OIL,셀프,1240.0
A0011352,20200606.0,강원 강릉시,S-OIL,셀프,1240.0
A0011352,20200607.0,강원 강릉시,S-OIL,셀프,1250.0
A0010562,20200601.0,강원 강릉시,SK에너지,셀프,1232.0
A0010562,20200602.0,강원 강릉시,SK에너지,셀프,1232.0
A0010562,20200603.0,강원 강릉시,SK에너지,셀프,1232.0
A0010562,20200604.0,강원 강릉시,SK에너지,셀프,1232.0
A0010562,20200605.0,강원 강릉시,SK에너지,셀프,1243.0
A0010562,20200606.0,강원 강릉시,SK에너지,셀프,1263.0
A0010562,20200607.0,강원 강릉시,SK에너지,셀프,1263.0
A0032684,20200601.0,강원 강릉시,SK에너지,셀프,1269.0
A0032684,20200602.0,강원 강릉시,SK에너지,셀프,1269.0
A0032684,20200603.0,강원 강릉시,SK에너지,셀프,1269.0
A0032684,20200604.0,강원 강릉시,SK에너지,셀프,1279.0
A0032684,20200605.0,강원 강릉시,SK에너지,셀프,1279.0
A0032684,20200606.0,강원 강릉시,SK에너지,셀프,1295.0
A0032684,20200607.0,강원 강릉시,SK에너지,셀프,1295.0
A0011610,20200601.0,강원 강릉시,S-OIL,일반,1247.0
A0011610,20200602.0,강원 강릉시,S-OIL,일반,1267.0
A0011610,20200603.0,강원 강릉시,S-OIL,일반,1267.0
A0011610,20200604.0,강원 강릉시,S-OIL,일반,1267.0
A0011610,20200605.0,강원 강릉시,S-OIL,일반,1267.0
A0011610,20200606.0,강원 강릉시,S-OIL,일반,1277.0
A0011610,20200607.0,강원 강릉시,S-OIL,일반,1277.0
A0011538,20200601.0,강원 강릉시,현대오일뱅크,셀프,1258.0
A0011538,20200602.0,강원 강릉시,현대오일뱅크,셀프,1258.0
A0011538,20200603.0,강원 강릉시,현대오일뱅크,셀프,1258.0
A0011538,20200604.0,강원 강릉시,현대오일뱅크,셀프,1278.0
A0011538,20200605.0,강원 강릉시,현대오일뱅크,셀프,1278.0
A0011538,20200606.0,강원 강릉시,현대오일뱅크,셀프,1278.0
A0011538,20200607.0,강원 강릉시,현대오일뱅크,셀프,1278.0
A0033436,20200601.0,강원 강릉시,S-OIL,셀프,1285.0
A0033436,20200602.0,강원 강릉시,S-OIL,셀프,1285.0
A0033436,20200603.0,강원 강릉시,S-OIL,셀프,1285.0
A0033436,20200604.0,강원 강릉시,S-OIL,셀프,1285.0
A0033436,20200605.0,강원 강릉시,S-OIL,셀프,1285.0
A0033436,20200607.0,강원 강릉시,S-OIL,셀프,1285.0
A0011342,20200601.0,강원 강릉시,GS칼텍스,셀프,1338.0
A0011342,20200602.0,강원 강릉시,GS칼텍스,셀프,1338.0
A0011342,20200603.0,강원 강릉시,GS칼텍스,셀프,1338.0
A0011342,20200604.0,강원 강릉시,GS칼텍스,셀프,1338.0
A0011342,20200605.0,강원 강릉시,GS칼텍스,셀프,1338.0
A0011342,20200606.0,강원 강릉시,GS칼텍스,셀프,1338.0
A0011342,20200607.0,강원 강릉시,GS칼텍스,셀프,1348.0
A0011554,20200601.0,강원 강릉시,알뜰(ex),셀프,1200.0
A0011554,20200602.0,강원 강릉시,알뜰(ex),셀프,1191.0
A0011554,20200603.0,강원 강릉시,알뜰(ex),셀프,1193.0
A0011554,20200604.0,강원 강릉시,알뜰(ex),셀프,1207.0
A0011554,20200605.0,강원 강릉시,알뜰(ex),셀프,1211.0
A0011554,20200606.0,강원 강릉시,알뜰(ex),셀프,1230.0
A0011554,20200607.0,강원 강릉시,알뜰(ex),셀프,1244.0
A0011555,20200601.0,강원 강릉시,알뜰(ex),셀프,1200.0
A0011555,20200602.0,강원 강릉시,알뜰(ex),셀프,1191.0
A0011555,20200603.0,강원 강릉시,알뜰(ex),셀프,1193.0
A0011555,20200604.0,강원 강릉시,알뜰(ex),셀프,1197.0
A0011555,20200605.0,강원 강릉시,알뜰(ex),셀프,1211.0
A0011555,20200606.0,강원 강릉시,알뜰(ex),셀프,1230.0
A0011555,20200607.0,강원 강릉시,알뜰(ex),셀프,1244.0
A0011572,20200601.0,강원 강릉시,SK에너지,일반,1295.0
A0011572,20200602.0,강원 강릉시,SK에너지,일반,1295.0
A0011572,20200603.0,강원 강릉시,SK에너지,일반,1315.0
A0011572,20200604.0,강원 강릉시,SK에너지,일반,1315.0
A0011572,20200605.0,강원 강릉시,SK에너지,일반,1315.0
A0011572,20200606.0,강원 강릉시,SK에너지,일반,1315.0
A0011572,20200607.0,강원 강릉시,SK에너지,일반,1315.0
A0011570,20200601.0,강원 강릉시,SK에너지,일반,1319.0
A0011570,20200602.0,강원 강릉시,SK에너지,일반,1319.0
A0011570,20200603.0,강원 강릉시,SK에너지,일반,1339.0
A0011570,20200604.0,강원 강릉시,SK에너지,일반,1339.0
A0011570,20200605.0,강원 강릉시,SK에너지,일반,1339.0
A0011570,20200606.0,강원 강릉시,SK에너지,일반,1339.0
A0011570,20200607.0,강원 강릉시,SK에너지,일반,1339.0
A0011571,20200601.0,강원 강릉시,SK에너지,셀프,1249.0
A0011571,20200602.0,강원 강릉시,SK에너지,셀프,1249.0
A0011571,20200603.0,강원 강릉시,SK에너지,셀프,1279.0
A0011571,20200604.0,강원 강릉시,SK에너지,셀프,1279.0
A0011571,20200605.0,강원 강릉시,SK에너지,셀프,1279.0
A0011571,20200606.0,강원 강릉시,SK에너지,셀프,1279.0
A0011571,20200607.0,강원 강릉시,SK에너지,셀프,1279.0
A0011577,20200601.0,강원 강릉시,SK에너지,셀프,1259.0
A0011577,20200602.0,강원 강릉시,SK에너지,셀프,1259.0
A0011577,20200603.0,강원 강릉시,SK에너지,셀프,1289.0
A0011577,20200604.0,강원 강릉시,SK에너지,셀프,1289.0
A0011577,20200605.0,강원 강릉시,SK에너지,셀프,1289.0
A0011577,20200606.0,강원 강릉시,SK에너지,셀프,1289.0
A0011577,20200607.0,강원 강릉시,SK에너지,셀프,1289.0
A0011607,20200601.0,강원 강릉시,S-OIL,일반,1257.0
A0011607,20200602.0,강원 강릉시,S-OIL,일반,1278.0
A0011607,20200603.0,강원 강릉시,S-OIL,일반,1278.0
A0011607,20200604.0,강원 강릉시,S-OIL,일반,1278.0
A0011607,20200605.0,강원 강릉시,S-OIL,일반,1278.0
A0011607,20200606.0,강원 강릉시,S-OIL,일반,1288.0
A0011607,20200607.0,강원 강릉시,S-OIL,일반,1288.0
A0011360,20200601.0,강원 강릉시,현대오일뱅크,일반,1259.0
A0011360,20200602.0,강원 강릉시,현대오일뱅크,일반,1259.0
A0011360,20200603.0,강원 강릉시,현대오일뱅크,일반,1259.0
A0011360,20200604.0,강원 강릉시,현대오일뱅크,일반,1295.0
A0011360,20200605.0,강원 강릉시,현대오일뱅크,일반,1295.0
A0011360,20200606.0,강원 강릉시,현대오일뱅크,일반,1295.0
A0011360,20200607.0,강원 강릉시,현대오일뱅크,일반,1295.0
A0011548,20200601.0,강원 강릉시,NH-OIL,일반,1230.0
A0011548,20200602.0,강원 강릉시,NH-OIL,일반,1230.0
A0011548,20200603.0,강원 강릉시,NH-OIL,일반,1230.0
A0011548,20200604.0,강원 강릉시,NH-OIL,일반,1230.0
A0011548,20200605.0,강원 강릉시,NH-OIL,일반,1230.0
A0011548,20200606.0,강원 강릉시,NH-OIL,일반,1230.0
A0011548,20200607.0,강원 강릉시,NH-OIL,일반,1230.0
A0011549,20200601.0,강원 강릉시,NH-OIL,일반,1230.0
A0011549,20200602.0,강원 강릉시,NH-OIL,일반,1230.0
A0011549,20200603.0,강원 강릉시,NH-OIL,일반,1230.0
A0011549,20200604.0,강원 강릉시,NH-OIL,일반,1230.0
A0011549,20200605.0,강원 강릉시,NH-OIL,일반,1230.0
A0011549,20200606.0,강원 강릉시,NH-OIL,일반,1230.0
A0011549,20200607.0,강원 강릉시,NH-OIL,일반,1230.0
A0011547,20200601.0,강원 강릉시,NH-OIL,일반,1235.0
A0011547,20200602.0,강원 강릉시,NH-OIL,일반,1235.0
A0011547,20200603.0,강원 강릉시,NH-OIL,일반,1235.0
A0011547,20200604.0,강원 강릉시,NH-OIL,일반,1235.0
A0011547,20200605.0,강원 강릉시,NH-OIL,일반,1235.0
A0011547,20200606.0,강원 강릉시,NH-OIL,일반,1235.0
A0011547,20200607.0,강원 강릉시,NH-OIL,일반,1235.0
A0011351,20200601.0,강원 강릉시,S-OIL,셀프,1244.0
A0011351,20200602.0,강원 강릉시,S-OIL,셀프,1244.0
A0011351,20200603.0,강원 강릉시,S-OIL,셀프,1244.0
A0011351,20200604.0,강원 강릉시,S-OIL,셀프,1264.0
A0011351,20200605.0,강원 강릉시,S-OIL,셀프,1264.0
A0011351,20200606.0,강원 강릉시,S-OIL,셀프,1264.0
A0011351,20200607.0,강원 강릉시,S-OIL,셀프,1264.0
A0011353,20200601.0,강원 강릉시,S-OIL,셀프,1269.0
A0011353,20200602.0,강원 강릉시,S-OIL,셀프,1269.0
A0011353,20200603.0,강원 강릉시,S-OIL,셀프,1269.0
A0011353,20200604.0,강원 강릉시,S-OIL,셀프,1279.0
A0011353,20200605.0,강원 강릉시,S-OIL,셀프,1279.0
A0011353,20200606.0,강원 강릉시,S-OIL,셀프,1295.0
A0011353,20200607.0,강원 강릉시,S-OIL,셀프,1295.0
A0000160,20200601.0,강원 강릉시,GS칼텍스,일반,1299.0
A0000160,20200602.0,강원 강릉시,GS칼텍스,일반,1299.0
A0000160,20200603.0,강원 강릉시,GS칼텍스,일반,1299.0
A0000160,20200604.0,강원 강릉시,GS칼텍스,일반,1299.0
A0000160,20200605.0,강원 강릉시,GS칼텍스,일반,1299.0
A0000160,20200606.0,강원 강릉시,GS칼텍스,일반,1299.0
A0000160,20200607.0,강원 강릉시,GS칼텍스,일반,1299.0
A0011388,20200601.0,강원 강릉시,S-OIL,일반,1245.0
A0011388,20200602.0,강원 강릉시,S-OIL,일반,1245.0
A0011388,20200603.0,강원 강릉시,S-OIL,일반,1245.0
