supply_id,unit_code,item_code,item_name,category,stock_level,avg_daily_usage,weekend_usage_ratio,delivery_lead_time,requested_quantity,reorder_threshold,auto_reorder_flag,request_date,is_weekend,is_weekend_check
SUPP00001,31A,ITEM011,Glasses,의복,22.0,4.6,0.34,4,36,20,1,2024-06-25,0,False
SUPP00002,18A,ITEM015,USB Drive,사무,28.0,5.7,0.33,5,38,20,1,2024-02-01,0,False
SUPP00003,19C,ITEM008,Rice Pack,식량,19.0,4.0,0.25,6,28,20,1,2024-02-07,0,False
SUPP00004,21C,ITEM019,Flashlight,사무,26.0,5.3,0.21,2,40,20,1,2024-04-01,0,False
SUPP00005,40A,ITEM008,Rice Pack,식량,18.0,3.7,0.35,3,24,20,1,2024-03-28,0,False
SUPP00006,33B,ITEM019,Flashlight,사무,8.0,1.8,0.45,6,10,20,1,2024-05-20,0,False
SUPP00007,19C,ITEM018,Bandage,의료,29.0,5.9,0.43,6,38,10,1,2024-03-25,0,False
SUPP00008,17C,ITEM010,Mask,위생,42.0,8.7,0.41,4,58,20,1,2024-06-30,1,True
SUPP00009,31A,ITEM007,Shirt,의복,16.0,3.3,0.1,4,31,20,1,2024-03-16,1,True
SUPP00010,15A,ITEM009,First Aid Kit,의료,14.0,2.9,0.47,7,20,16,1,2024-05-07,0,False
SUPP00011,12C,ITEM001,Toilet Paper,위생,14.169873980242368,10.878901720901533,0.4,4,66,30,1,2024-01-13,1,True
SUPP00012,31A,ITEM019,Flashlight,사무,22.0,4.5,0.33,4,30,20,1,2024-02-08,0,False
SUPP00013,40A,ITEM005,Notebook,사무,4.0,0.9,0.18,3,10,20,1,2024-01-23,0,False
SUPP00014,40A,ITEM019,Flashlight,사무,26.0,5.3,0.44,3,30,20,1,2024-04-19,0,False
SUPP00015,33B,ITEM001,Toilet Paper,위생,6.509500972820775,10.334361179077817,0.39,6,41,30,1,2024-04-16,0,False
SUPP00016,17C,ITEM015,USB Drive,사무,5.0,1.2,0.19,4,11,20,1,2024-04-01,0,False
SUPP00017,18A,ITEM016,Printer Ink,사무,28.0,5.7,0.36,5,38,20,1,2024-05-21,0,False
SUPP00018,33B,ITEM007,Shirt,의복,10.0,2.2,0.45,6,14,20,1,2024-05-24,0,False
SUPP00019,33B,ITEM012,Hand Sanitizer,위생,17.0,3.5,0.46,6,24,20,1,2024-01-24,0,False
SUPP00020,12C,ITEM008,Rice Pack,식량,17.0,3.5,0.12,4,27,20,1,2024-02-03,1,True
SUPP00021,39C,ITEM005,Notebook,사무,3.0,0.7,0.35,5,10,20,1,2024-06-27,0,False
SUPP00022,17C,ITEM010,Mask,위생,21.0,4.4,0.45,4,31,20,1,2024-04-21,1,True
SUPP00023,36B,ITEM005,Notebook,사무,17.0,3.6,0.5,2,14,20,1,2024-05-17,0,False
SUPP00024,33B,ITEM017,Combat Boots,의복,16.0,3.4,0.26,6,15,20,1,2024-04-27,1,True
SUPP00025,29B,ITEM005,Notebook,사무,12.0,2.6,0.1,3,16,20,1,2024-05-28,0,False
SUPP00026,11A,ITEM015,USB Drive,사무,29.0,5.9,0.49,6,35,20,1,2024-06-13,0,False
SUPP00027,39C,ITEM013,Blanket,의복,23.0,4.7,0.47,5,37,20,1,2024-01-07,1,True
SUPP00028,36B,ITEM001,Toilet Paper,위생,6.7375549305467475,8.773717778247683,0.15,2,72,30,1,2024-03-30,1,True
SUPP00029,29B,ITEM011,Glasses,의복,28.0,5.7,0.47,3,39,20,1,2024-01-13,1,True
SUPP00030,17C,ITEM001,Toilet Paper,위생,10.68999596816563,9.786209814980563,0.19,4,60,30,1,2024-03-20,0,False
SUPP00031,18C,ITEM011,Glasses,의복,20.0,4.1,0.19,5,31,20,1,2024-01-30,0,False
SUPP00032,29B,ITEM018,Bandage,의료,27.0,5.6,0.37,3,36,10,1,2024-06-07,0,False
SUPP00033,15A,ITEM018,Bandage,의료,20.0,4.1,0.37,7,26,10,1,2024-05-12,1,True
SUPP00034,39C,ITEM016,Printer Ink,사무,29.0,5.9,0.12,5,43,20,1,2024-06-08,1,True
SUPP00035,19C,ITEM013,Blanket,의복,32.0,6.7,0.21,6,50,20,1,2024-01-16,0,False
SUPP00036,29B,ITEM007,Shirt,의복,12.0,2.5,0.41,3,24,20,1,2024-05-29,0,False
