log_id,server_id,location,check_date,check_type,issue_detected,issue_category,cpu_usage,memory_usage,disk_usage,temp_abnormal_flag,uptime_days,auto_alert_triggered,fix_required,fix_duration_hours
CHK000001,SRV0001,17사단,2024-12-11 05:00:00,월간,0,디스크,21.1,30.8,24.0,1,137,1,1,1.2
CHK000002,SRV0002,25사단,2024-12-10 06:00:00,일간,1,CPU과부하,11.6,18.2,16.1,0,169,1,0,4.67
CHK000003,SRV0003,21사단,2024-08-07 02:00:00,일간,0,CPU과부하,41.0,27.9,20.1,1,269,1,1,4.12
CHK000004,SRV0004,18사단,2024-10-02 20:00:00,일간,1,없음,36.1,24.0,23.1,0,164,1,0,5.43
CHK000005,SRV0005,17사단,2024-08-07 19:00:00,주간,0,CPU과부하,20.8,34.7,28.3,0,233,1,1,2.87
CHK000006,SRV0006,21사단,2024-08-12 06:00:00,일간,0,전력,14.8,33.7,8.3,1,217,0,1,1.88
CHK000007,SRV0007,21사단,2024-10-22 03:00:00,주간,0,전력,28.4,23.8,29.5,1,114,1,0,1.53
CHK000008,SRV0008,14사단,2024-07-05 03:00:00,월간,0,전력,26.9,27.0,49.8,0,256,1,0,2.99
CHK000009,SRV0009,18사단,2024-10-31 12:00:00,일간,1,디스크,9.4,36.6,11.1,0,321,0,0,3.56
CHK000010,SRV0010,13사단,2024-09-18 13:00:00,주간,0,디스크,40.2,18.8,23.4,0,155,1,0,1.48
CHK000011,SRV0011,12사단,2024-07-11 01:00:00,주간,0,CPU과부하,19.1,31.6,33.8,1,141,1,1,3.61
CHK000012,SRV0012,22사단,2024-11-19 23:00:00,일간,0,없음,30.2,30.5,20.9,0,81,1,0,4.26
CHK000013,SRV0013,16사단,2024-11-29 06:00:00,일간,0,CPU과부하,25.3,20.6,46.7,0,109,1,0,2.45
CHK000014,SRV0014,12사단,2024-07-26 10:00:00,월간,0,CPU과부하,35.2,27.0,38.7,1,258,1,1,2.42
CHK000015,SRV0015,11사단,2024-08-05 06:00:00,일간,1,디스크,21.9,16.3,17.1,1,143,0,0,2.94
CHK000016,SRV0016,22사단,2024-11-21 05:00:00,월간,1,CPU과부하,17.5,25.3,13.3,0,204,1,1,3.14
CHK000017,SRV0017,22사단,2024-08-28 05:00:00,월간,1,디스크,50.6,33.2,22.9,1,94,1,0,2.28
CHK000018,SRV0018,정보통신대,2024-10-06 23:00:00,월간,1,CPU과부하,16.4,31.2,39.5,0,184,0,1,2.28
CHK000019,SRV0019,20사단,2024-11-13 06:00:00,월간,0,디스크,34.7,26.7,23.0,1,401,0,0,3.22
CHK000020,SRV0020,기술지원대,2024-12-02 23:00:00,월간,1,전력,29.8,24.6,34.9,0,212,0,1,2.42
CHK000021,SRV0021,25사단,2024-12-21 08:00:00,월간,0,없음,19.9,28.5,54.3,0,276,0,1,2.8
