soldier_id,unit_code,region,lat,lon,rank,facility_type,facility_usage,usage_frequency_per_week,satisfaction_score,distance_to_facility,has_private_space,mental_wellbeing_score,date,facility_access_score,expected_mental_score,mental_gap_score,expected_mental_score_adj,expected_mental_score_v4
S20240700001,17사단,전라권,36.517251,127.006332,이병,노래방,0,2,6,153.9,격리형,1,2024-09-13,-53.900000000000006,1.65,-1.16,2.15,2.16
S20240700002,14사단,전라권,36.227541,127.840048,일병,독서실,0,2,6,343.1,침상형,1,2024-11-05,-243.1,-3.08,0.8167587553332774,-2.58,-2.88
S20240700003,23사단,전라권,37.038748,127.239173,이병,체력단련실,1,0,5,385.8,격리형,1,2024-09-10,-285.8,-4.65,0.8985357292722881,-4.15,-3.5713766571924004
S20240700004,25사단,수도권,38.416642,128.533748,이병,독서실,0,2,3,308.3,침상형,3,2024-12-02,-208.3,-3.71,0.47634773189334434,-3.71,-2.7701031853728155
S20240700005,21사단,수도권,37.09739,127.730811,일병,노래방,1,4,3,121.3,침상형,2,2024-08-09,-21.3,0.97,0.77,0.97,1.23
S20240700006,18사단,강원권,36.463025,127.308953,일병,PX,1,1,4,397.4,침상형,6,2024-07-26,-297.4,-5.44,11.53,-4.94,-5.53
S20240700007,23사단,영남권,35.697292,129.324399,일병,노래방,1,1,5,294.1,침상형,1,2024-07-27,-194.1,-2.35,1.928336506328618,-1.85,-0.928336506328618
S20240700008,15사단,수도권,37.723634,126.875463,병장,체력단련실,0,4,4,277.3,격리형,2,2024-09-21,-177.3,-2.43,2.985471646678402,-1.93,-0.985471646678402
S20240700009,17사단,강원권,38.234467,126.571449,병장,PX,1,2,2,186.0,격리형,2,2024-11-05,-86.0,-1.15,2.147714854491824,-1.15,-0.1477148544918241
S20240700010,20사단,영남권,36.284591,126.757472,병장,상담실,1,3,2,480.0,침상형,1,2024-12-25,-380.0,-8.5,0.9194364381631972,-8.5,-7.58080383872697
S20240700011,13사단,강원권,36.659074,126.943488,병장,독서실,1,4,2,233.4,침상형,1,2024-12-17,-133.4,-2.34,1.1406810908764995,-2.34,-2.36
S20240700012,17사단,전라권,38.161446,127.346424,병장,노래방,1,5,3,295.0,침상형,4,2024-12-04,-195.0,-3.38,1.1297738944636877,-3.38,-2.086628444058872
S20240700013,21사단,영남권,37.95486,127.826905,이병,노래방,0,2,4,164.2,침상형,1,2024-12-14,-64.19999999999999,0.4,0.31,0.9,0.69
S20240700014,21사단,충청권,37.313209,128.155869,이병,독서실,0,1,6,255.2,격리형,3,2024-12-16,-155.2,-0.88,2.4536893766517407,-0.38,0.5463106233482591
S20240700015,18사단,충청권,36.757347,127.095186,이병,노래방,1,1,1,241.7,침상형,2,2024-08-02,-141.7,-3.04,0.4432042484261507,-3.04,-2.113590656713197
S20240700016,15사단,충청권,36.151729,128.226334,이병,상담실,0,1,5,201.0,격리형,3,2024-10-05,-101.0,-0.02,1.9062777859279083,0.48,1.0937222140720917
S20240700017,14사단,충청권,38.132633,128.128031,일병,상담실,0,2,1,330.0,침상형,1,2024-10-19,-230.0,-5.25,0.27240869247708027,-5.25,-4.759857675812728
S20240700018,18사단,영남권,38.254641,129.163685,상병,체력단련실,1,4,3,273.0,격리형,2,2024-07-16,-173.0,-2.82,1.4716017756479756,-2.82,-2.81
S20240700019,18사단,강원권,35.823664,129.180206,일병,독서실,1,1,1,473.8,격리형,3,2024-07-23,-373.8,-8.85,0.3435121827164243,-8.85,-8.071694070298456
S20240700020,13사단,충청권,37.353614,129.294437,상병,상담실,0,5,5,407.5,침상형,2,2024-11-12,-307.5,-5.19,0.711786108895933,-4.69,-4.0319708481108805
S20240700021,16사단,수도권,35.870071,128.99722,상병,독서실,0,2,6,209.7,격리형,2,2024-07-26,-109.7,0.26,1.33,0.76,0.67
